iter	Passed	Remaining
0	2	2803
1	5	2694
2	7	2545
3	10	2579
4	12	2521
5	15	2501
6	17	2480
7	19	2465
8	22	2473
9	25	2485
10	27	2459
11	29	2435
12	31	2428
13	34	2412
14	36	2399
15	39	2410
16	41	2406
17	43	2396
18	46	2381
19	48	2370
20	50	2359
21	53	2356
22	55	2346
23	57	2337
24	59	2331
25	62	2325
26	64	2317
27	66	2310
28	69	2316
29	71	2311
30	73	2305
31	75	2298
32	78	2296
33	80	2291
34	83	2298
35	85	2293
36	88	2291
37	90	2284
38	92	2278
39	94	2273
40	97	2276
41	100	2283
42	102	2284
43	104	2279
44	107	2272
45	110	2287
46	113	2296
47	116	2305
48	118	2301
49	120	2296
50	123	2293
51	126	2301
52	128	2295
53	130	2289
54	133	2285
55	135	2282
56	137	2278
57	140	2282
58	142	2277
59	145	2274
60	147	2268
61	149	2263
62	151	2258
63	154	2265
64	157	2263
65	159	2259
66	161	2255
67	164	2250
68	166	2248
69	169	2245
70	171	2241
71	173	2236
72	175	2231
73	177	2227
74	180	2223
75	182	2224
76	185	2220
77	187	2216
78	189	2212
79	191	2207
80	194	2203
81	197	2206
82	199	2203
83	201	2200
84	204	2196
85	206	2192
86	208	2188
87	211	2188
88	212	2174
89	214	2172
90	217	2169
91	219	2167
92	222	2165
93	224	2163
94	226	2160
95	229	2156
96	231	2154
97	233	2149
98	235	2146
99	238	2143
100	240	2142
101	242	2139
102	245	2136
103	247	2133
104	249	2130
105	252	2130
106	255	2129
107	257	2126
108	259	2122
109	262	2120
110	264	2119
111	266	2116
112	269	2114
113	271	2111
114	274	2108
115	276	2106
116	278	2102
117	281	2101
118	283	2099
119	285	2096
120	288	2092
121	290	2089
122	292	2086
123	294	2082
124	297	2081
125	299	2078
126	302	2076
127	304	2073
128	306	2070
129	308	2067
130	311	2066
131	313	2063
132	316	2061
133	318	2057
134	320	2054
135	323	2052
136	325	2049
137	327	2047
138	330	2044
139	332	2041
140	334	2038
141	336	2035
142	339	2033
143	341	2031
144	344	2028
145	346	2025
146	348	2022
147	350	2019
148	352	2016
149	355	2015
150	357	2012
151	360	2010
152	362	2007
153	364	2004
154	367	2001
155	369	2000
156	372	1997
157	374	1994
158	376	1992
159	378	1989
160	381	1985
161	383	1983
162	385	1981
163	388	1979
164	390	1976
165	393	1974
166	395	1971
167	397	1968
168	400	1967
169	402	1964
170	404	1961
171	406	1958
172	409	1955
173	411	1952
174	414	1952
175	416	1950
176	418	1947
177	421	1945
178	423	1943
179	426	1941
180	428	1940
181	431	1937
182	433	1934
183	435	1932
184	437	1929
185	440	1926
186	442	1925
187	445	1922
188	447	1919
189	449	1916
190	451	1913
191	454	1911
192	456	1909
193	459	1907
194	461	1904
195	463	1901
196	465	1899
197	468	1896
198	470	1894
199	473	1892
200	475	1889
201	477	1886
202	479	1883
203	482	1880
204	484	1877
205	486	1876
206	489	1873
207	491	1871
208	493	1868
209	495	1865
210	498	1863
211	500	1862
212	503	1859
213	505	1856
214	507	1854
215	510	1852
216	512	1849
217	515	1847
218	517	1844
219	519	1842
220	521	1839
221	524	1836
222	526	1834
223	528	1832
224	531	1830
225	534	1829
226	536	1827
227	538	1824
228	541	1822
229	543	1819
230	546	1817
231	548	1815
232	550	1813
233	553	1811
234	555	1809
235	558	1807
236	561	1806
237	563	1803
238	565	1801
239	568	1798
240	570	1796
241	572	1793
242	575	1791
243	577	1788
244	579	1785
245	581	1783
246	584	1780
247	586	1778
248	588	1776
249	591	1773
250	593	1771
251	595	1768
252	597	1765
253	600	1762
254	602	1761
255	605	1758
256	607	1756
257	610	1754
258	612	1752
259	614	1749
260	617	1747
261	619	1744
262	621	1742
263	624	1739
264	626	1737
265	628	1734
266	631	1732
267	633	1730
268	635	1727
269	638	1725
270	640	1722
