iter	MAE
0	335.8317299
1	330.5257223
2	325.8019202
3	321.0119969
4	314.6637892
5	309.5410356
6	304.3002773
7	301.1082366
8	295.2965591
9	291.3317159
10	287.121447
11	282.1440873
12	277.6485866
13	273.7859291
14	270.2027808
15	264.5476541
16	261.654325
17	257.7626695
18	253.6597148
19	249.3460109
20	245.0406816
21	241.52459
22	237.5510188
23	234.2748705
24	228.4294565
25	224.5351263
26	220.3790127
27	217.3239743
28	213.5033954
29	212.125609
30	209.0835496
31	204.850955
32	201.848623
33	199.2007274
34	197.2675993
35	193.9367938
36	191.7773136
37	188.6197997
38	186.3549437
39	184.5521657
40	182.2438085
41	179.5823288
42	177.544982
43	174.9277991
44	173.156795
45	171.1359083
46	169.0797102
47	166.8585068
48	165.3625522
49	163.7451781
50	161.8598662
51	160.1490144
52	157.9748008
53	155.6993488
54	153.747564
55	152.3614557
56	150.7906955
57	147.7527393
58	144.5132674
59	142.8056068
60	139.8824817
61	137.8763302
62	136.0151946
63	133.9727637
64	132.1509886
65	130.9462542
66	129.521172
67	127.4208617
68	125.4999754
69	124.5334768
70	122.6470402
71	119.9376111
72	118.3694362
73	116.9389738
74	115.7528005
75	114.6552167
76	112.9065755
77	111.2650598
78	110.3789964
79	108.9461967
80	107.4669973
81	105.5259822
82	104.4359414
83	103.2270284
84	101.7429751
85	100.5627157
86	98.83112527
87	98.22507361
88	97.51729187
89	96.49964051
90	95.28524397
91	94.20465331
92	93.19801501
93	91.65544178
94	90.54660262
95	89.36401285
96	88.4367494
97	87.89600168
98	86.80422119
99	85.84858544
100	85.1219906
101	84.42303934
102	83.77306364
103	82.89175546
104	82.22461991
105	81.1690235
106	80.76943699
107	79.76876084
108	79.3166693
109	78.2942023
110	77.81058904
111	77.23440288
112	76.20207137
113	75.40170176
114	74.71172621
115	74.2012971
116	73.40555217
117	72.60308557
118	71.9765317
119	71.12648827
120	70.26334029
121	69.72618066
122	69.44789021
123	68.93865873
124	67.58173818
125	66.70453352
126	66.10813891
127	65.133974
128	64.61909972
129	63.73204766
130	63.21622081
131	62.26855928
132	61.53193065
133	60.6886567
134	59.97680136
135	59.16929621
136	58.8448348
137	58.31228601
138	57.40973303
139	56.83686075
140	56.61963223
141	55.97657436
142	55.28327971
143	54.98640265
144	54.79195367
145	54.32333098
146	53.6980607
147	53.01395764
148	52.59433832
149	52.032022
150	51.32902882
151	50.70291023
152	50.11171959
153	49.51463185
154	48.9645613
155	48.49257814
156	48.14183034
157	47.41893583
158	47.0125442
159	46.45475091
160	46.38660078
161	46.06857246
162	45.91531282
