iter	Passed	Remaining
0	5	5816
1	11	5557
2	16	5339
3	21	5265
4	26	5294
5	31	5224
6	36	5175
7	41	5115
8	46	5078
9	51	5056
10	55	4997
11	60	4940
12	64	4928
13	69	4913
14	73	4840
15	78	4834
16	83	4835
17	88	4821
18	92	4793
19	97	4784
20	102	4761
21	106	4754
22	111	4751
23	116	4757
24	122	4760
25	126	4757
26	131	4743
27	136	4735
28	141	4730
29	146	4723
30	151	4728
31	156	4734
32	161	4728
33	166	4720
34	170	4691
35	174	4662
36	178	4638
37	181	4606
38	185	4580
39	189	4536
40	192	4507
41	196	4480
42	199	4448
43	203	4427
44	208	4428
45	213	4430
46	218	4420
47	222	4419
48	227	4416
49	232	4412
50	237	4414
51	242	4412
52	246	4412
53	251	4412
54	256	4411
55	261	4414
56	266	4415
57	271	4414
58	276	4413
59	281	4413
60	286	4413
61	291	4411
62	296	4408
63	301	4407
64	306	4407
65	311	4405
66	316	4403
67	321	4400
68	325	4396
69	330	4390
70	335	4384
71	339	4380
72	344	4380
73	349	4377
74	354	4373
75	359	4372
76	364	4368
77	369	4364
78	374	4360
79	378	4357
80	383	4354
81	388	4351
82	393	4349
83	398	4346
84	403	4344
85	408	4340
86	413	4337
87	418	4332
88	422	4329
89	428	4327
90	432	4322
91	437	4320
92	442	4316
93	447	4313
94	452	4311
95	457	4307
96	462	4302
97	466	4295
98	471	4289
99	476	4284
100	480	4281
101	486	4279
102	490	4275
103	495	4272
104	501	4270
105	505	4266
106	510	4263
107	515	4261
108	520	4257
109	525	4254
110	530	4248
111	535	4242
112	539	4236
113	545	4235
114	549	4232
115	554	4227
116	559	4223
117	564	4221
118	569	4216
119	574	4213
120	579	4208
121	584	4203
122	589	4200
123	594	4196
124	598	4191
125	603	4187
126	608	4184
127	613	4180
128	618	4177
129	623	4173
130	628	4169
131	633	4166
132	638	4162
133	643	4158
134	648	4155
135	653	4151
136	658	4147
137	663	4143
138	668	4139
139	672	4133
140	678	4130
141	682	4125
142	687	4121
143	692	4116
144	697	4111
145	702	4106
146	706	4102
147	711	4097
148	716	4093
149	721	4088
150	726	4083
151	731	4079
152	735	4073
153	740	4070
154	745	4064
155	750	4059
156	755	4056
157	760	4051
158	765	4047
159	770	4044
160	775	4040
161	780	4034
162	785	4031
163	790	4027
164	794	4022
165	799	4019
166	804	4014
167	809	4010
168	814	4005
169	819	4000
170	824	3995
171	828	3990
172	833	3985
173	838	3981
174	843	3976
175	848	3972
176	853	3967
177	857	3961
178	862	3956
179	867	3951
180	872	3946
181	877	3942
182	881	3937
183	886	3932
184	891	3928
185	896	3922
186	901	3917
187	906	3913
188	910	3908
189	915	3904
190	920	3899
191	925	3894
192	930	3889
193	935	3885
194	940	3880
195	944	3876
196	949	3871
197	954	3867
198	959	3863
199	964	3858
200	969	3853
201	974	3848
202	978	3843
203	983	3838
204	988	3834
205	993	3829
206	998	3824
207	1003	3820
208	1007	3814
209	1013	3810
210	1017	3805
211	1022	3801
212	1027	3797
213	1031	3788
214	1035	3781
215	1040	3777
216	1046	3774
217	1050	3769
218	1055	3765
219	1060	3759
220	1064	3753
221	1069	3749
222	1074	3744
223	1079	3740
224	1084	3736
225	1089	3731
226	1094	3726
227	1099	3721
228	1104	3717
229	1107	3708
230	1111	3701
231	1116	3697
232	1121	3693
233	1126	3688
234	1131	3683
235	1136	3680
236	1141	3675
237	1146	3670
238	1151	3665
239	1156	3660
240	1160	3655
241	1165	3651
242	1170	3646
243	1175	3641
244	1179	3636
245	1184	3631
246	1189	3626
247	1194	3621
248	1199	3617
249	1204	3612
250	1208	3607
251	1213	3602
252	1218	3598
253	1223	3593
254	1228	3589
255	1233	3585
256	1239	3582
257	1243	3577
258	1248	3572
259	1253	3568
260	1258	3563
261	1263	3558
262	1268	3554
263	1273	3549
264	1278	3545
265	1283	3540
266	1288	3536
267	1293	3531
268	1297	3527
269	1302	3522
270	1307	3517
271	1312	3513
272	1317	3509
273	1322	3504
274	1327	3499
275	1332	3495
276	1337	3490
277	1342	3486
278	1347	3481
279	1352	3476
280	1356	3472
281	1361	3466
282	1366	3462
283	1371	3456
284	1376	3452
285	1380	3447
286	1385	3442
287	1390	3437
288	1395	3433
289	1400	3428
290	1405	3423
291	1409	3418
292	1414	3413
293	1420	3409
294	1425	3405
295	1429	3400
296	1434	3396
297	1440	3392
298	1445	3388
299	1449	3382
300	1455	3378
301	1459	3374
302	1464	3369
303	1469	3364
304	1474	3359
305	1479	3355
306	1483	3349
307	1488	3344
308	1493	3340
309	1498	3335
310	1503	3330
311	1508	3325
312	1513	3321
313	1517	3316
314	1522	3311
315	1527	3306
316	1532	3302
317	1537	3296
318	1541	3291
319	1546	3286
320	1551	3281
321	1556	3276
322	1561	3272
