단지코드,apt임대료min,apt임대료25%,apt임대료50%,apt임대료75%,apt임대료max,apt임대료mean,apt임대료std,apt임대료count,apt임대보증금min,apt임대보증금25%,apt임대보증금50%,apt임대보증금75%,apt임대보증금max,apt임대보증금mean,apt임대보증금std,apt임대보증금count,store임대료min,store임대료25%,store임대료50%,store임대료75%,store임대료max,store임대료mean,store임대료std,store임대료count,store임대보증금min,store임대보증금25%,store임대보증금50%,store임대보증금75%,store임대보증금max,store임대보증금mean,store임대보증금std,store임대보증금count,apt전용면적min,apt전용면적25%,apt전용면적50%,apt전용면적75%,apt전용면적max,apt전용면적mean,apt전용면적std,apt전용면적count,store전용면적min,store전용면적25%,store전용면적50%,store전용면적75%,store전용면적max,store전용면적mean,store전용면적std,store전용면적count
C2515,82940.0,107130.0,149760.0,169925.0,190090.0,139557.14285714287,42079.044552796,7.0,9216000.0,12672000.0,18433000.0,20737500.0,23042000.0,16787142.85714286,5398382.054794177,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.48,39.6,46.9,49.435,51.97,44.345714285714294,6.981112273228999,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1407,127350.0,145980.0,164610.0,198250.0,253520.0,176730.0,45411.848453900224,11.0,15620000.0,21628500.0,27637000.0,36048000.0,42056000.0,28510545.454545453,9910277.15418329,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.95,36.05,41.58,46.36,51.24,41.25363636363637,7.541262855420535,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1945,130070.0,145860.0,193230.0,231322.5,244020.0,189106.66666666666,51059.98067632484,6.0,15607000.0,17490000.0,23139000.0,27691500.0,29209000.0,22651666.666666668,6094700.7364321565,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.72,42.7725,51.93,57.892500000000005,59.88,50.51,9.082673615186225,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1470,102130.0,102130.0,117145.0,135165.0,144180.0,120150.0,21378.507899289885,4.0,12015000.0,12015000.0,16821500.0,22529250.0,25233000.0,17722750.0,6753064.8042203775,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.55,36.55,41.724999999999994,48.1575,51.93,42.9825,7.706245843470089,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1898,102130.0,102130.0,117145.0,132160.0,144180.0,119148.33333333333,19152.348594014955,6.0,12015000.0,12015000.0,16821500.0,21628000.0,25233000.0,17422333.333333332,6067940.990704069,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.55,36.567499999999995,41.76,46.9,51.93,42.575,6.826280832195525,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1244,203030.0,203030.0,304540.0,304540.0,338380.0,281115.3846153846,55916.077982303774,13.0,29551000.0,29551000.0,43990000.0,43990000.0,49854000.0,40900461.538461536,8231090.193238728,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62,39.72,46.81,46.95,51.95,45.78076923076923,4.720984116224185,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1171,118190.0,141840.0,189130.0,189130.0,236410.0,179275.83333333334,36985.32570390915,12.0,17730000.0,23641000.0,35462000.0,35462000.0,41372000.0,32014083.333333332,7750839.220935233,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.38,39.46,46.765,46.88,51.96,44.708333333333336,5.580284830353982,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2073,144180.0,159500.0,205460.0,205460.0,283560.0,198050.0,51537.633240186726,6.0,10813000.0,12315000.0,16821000.0,16821000.0,25233000.0,16220333.333333334,5306393.678070509,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.63,41.447500000000005,46.9,46.945,59.89,46.65166666666667,7.403775838493941,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C2513,192250.0,192250.0,192250.0,192250.0,192250.0,192250.0,0.0,3.0,32443000.0,32443000.0,32443000.0,32443000.0,32443000.0,32443000.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.88,51.88,51.88,51.905,51.93,51.89666666666667,0.028867513459479646,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1936,192250.0,192250.0,192250.0,192250.0,192250.0,192250.0,0.0,4.0,32443000.0,32443000.0,32443000.0,32443000.0,32443000.0,32443000.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.88,51.88,51.88,51.892500000000005,51.93,51.892500000000005,0.02499999999999858,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
