iter	RMSE
0	379.515032
1	378.1348279
2	376.0793806
3	374.1890923
4	371.6525482
5	369.1161295
6	367.2214495
7	365.0087243
8	362.9287561
9	361.1315531
10	359.4842055
11	357.5907046
12	356.0524803
13	354.4872797
14	352.9514505
15	350.9442145
16	349.5297085
17	347.3711801
18	345.6249363
19	343.5406101
20	341.5254361
21	339.4940778
22	337.8470746
23	335.7700066
24	334.1745204
25	332.1343173
26	330.5049237
27	329.0691461
28	327.4762799
29	326.1255289
30	324.533379
31	321.9413545
32	320.0185911
33	318.3341313
34	316.6632889
35	314.7554821
36	313.2946311
37	311.8125852
38	309.8484987
39	308.0514536
40	306.4428867
41	305.0961757
42	303.4541074
43	302.0246079
44	300.1780877
45	298.4375258
46	296.898954
47	295.1504533
48	293.4127972
49	291.9355581
50	290.2794437
51	288.6959695
52	286.4930894
53	285.1480379
54	283.274748
55	281.7349227
56	280.3310813
57	279.2194291
58	277.85442
59	276.5732961
60	274.701515
61	273.3143411
62	271.8039297
63	269.9544301
64	268.9505239
65	267.6026246
66	266.0875329
67	264.7085772
68	263.4247534
69	262.0177588
70	260.6655417
71	259.3109461
72	257.776286
73	256.3068042
74	255.0498207
75	253.9389389
76	252.5628824
77	251.3771493
78	250.123884
79	248.6108531
80	247.6199622
81	246.2000951
82	244.9172877
83	243.5470623
84	242.3319275
85	240.9827025
86	239.9473323
87	238.6233426
88	237.3516588
89	236.5526443
90	235.4758607
91	234.3803617
92	233.095386
93	232.0303739
94	230.9417999
95	229.6309513
96	228.4230035
97	227.3369502
98	226.4970279
99	225.3670817
100	224.3979254
101	222.7420068
102	221.6999409
103	220.7111835
104	219.6079211
105	218.7061962
106	217.5516613
107	216.705859
108	215.2975878
109	214.2497421
110	213.0023721
111	211.3145505
112	210.2650997
113	209.3642921
114	208.0753297
115	206.724885
116	205.7008184
117	204.6542536
118	203.6380256
119	202.4485131
120	201.5318378
121	200.3954087
122	199.4453586
123	198.3820396
124	197.3312496
125	196.5155435
126	195.6084918
127	194.7315919
128	193.99617
129	193.0846804
130	192.3159067
131	191.1524613
132	190.2227792
133	189.4225164
134	188.3620843
135	187.3795052
136	186.5892789
137	185.6348909
138	184.8889396
139	183.9950332
140	182.8165234
141	181.9640912
142	181.2440083
143	180.1326957
144	179.0407751
145	177.9491699
146	177.0863503
147	176.098844
148	175.1848681
149	174.1041437
150	173.4190937
151	172.5319918
152	171.671857
153	170.5379475
154	169.6072898
155	168.826954
156	168.0155765
157	167.1035682
158	166.4951468
159	165.5965907
160	164.5442015
161	163.8217507
162	162.8952479
163	161.9869297
164	161.1868084
165	160.5357752
166	159.8856213
167	159.0775784
168	158.2837622
169	157.5151301
170	156.7287199
