col_comb,cb1,svr,cb2,rf,gb,cb3
"['0~19 인구수', '영구임대', '전용면적별세대수', '공가수']",135.3101645502239,138.09362814098117,134.7977352195775,136.6691689025382,132.65566731019112,135.63525672667419
"['0~19 인구수', '영구임대', '버스정류장', '공가수']",137.56430692034533,133.75622616125798,135.68887959278823,139.5274514129556,132.03145228669368,140.32301661897537
"['0~19 인구수', '영구임대', '20~39 인구수', '공가수']",133.74911604029433,127.93007323116107,130.87789696914234,136.3978579814414,132.59059038278528,135.92571262756624
"['0~19 인구수', '영구임대', '총세대수', '공가수']",139.30090217303413,135.93978408915413,137.45025981953268,139.1385997169885,138.39503034871723,143.2547418822275
"['0~19 인구수', '영구임대', '지하철역', '공가수']",140.92762411017318,135.1839804242149,137.83362995223396,145.47722823262725,136.25709486043402,142.52495397558127
"['0~19 인구수', '영구임대', '공가비율', '공가수']",139.49221767393664,135.2613357244682,137.70966937922373,142.6886254351365,139.79518335454185,141.34382921520415
"['0~19 인구수', '영구임대', '공공분양', '공가수']",138.5159146984817,135.2600547457057,136.86662941912846,144.07935039420903,134.15261436992074,141.6952282817834
"['0~19 인구수', '영구임대', '행복주택', '공가수']",141.62161218631485,135.2574560788291,137.3958120797194,143.7293489577753,134.97287998856655,145.17777565727394
"['0~19 인구수', '영구임대', '국민임대', '공가수']",135.98624642912404,135.1145033071248,133.38385758855787,141.56798338686335,128.63230614833157,136.25785815422205
"['0~19 인구수', '영구임대', '전용면적/임대료', '공가수']",128.6248467797431,140.11542198320177,128.21059033751348,131.64727582950638,129.43841140158867,129.25423057057827
"['0~19 인구수', '영구임대', '총세대수/전용면적', '공가수']",126.7578477909462,124.79281240265595,123.98380959685946,130.3475176959445,128.29440190402673,130.13993230470788
"['0~19 인구수', '영구임대', '전용면적/연면적', '공가수']",131.0781475713386,133.9591323024556,130.54819790048919,135.20615699422802,132.94314363834764,134.04543479257364
"['0~19 인구수', '영구임대', '공가비율*전용면적별세대수', '공가수']",136.57483619632436,135.87312652877603,133.80336847657819,139.60772445595086,134.3133203462749,138.3992466398498
"['0~19 인구수', '영구임대', '남/여_70세이상', '공가수']",130.52007990563843,135.24352601897516,132.85309631846968,138.98803701899803,133.17218588529786,133.3951237027972
"['0~19 인구수', '영구임대', '공가비율*임대료', '공가수']",131.76235737402652,144.82098595344414,130.02642094960282,131.80994503892606,127.72620841189136,135.7156379362265
"['0~19 인구수', '영구임대', '전용면적/전용면적별세대수', '공가수']",131.55027093875682,135.18644386301904,130.83546044593612,132.93169856927358,130.60383545826784,134.29380583865478
"['0~19 인구수', '영구임대', '70세이상 인구수', '공가수']",137.4636559870377,138.61560771826254,137.26118338665668,138.57786881854764,135.3307161320852,142.0432275584161
"['0~19 인구수', '영구임대', '공가비율*연면적', '공가수']",134.34636604871451,139.80168681325776,133.37887661040216,137.87611726291146,136.8212892988584,137.4065244598545
"['0~19 인구수', '영구임대', '남/여_0~19세', '공가수']",128.68668547744863,135.28382326418438,129.2566374240274,138.88017125805163,130.3427783544368,129.13735547393247
"['0~19 인구수', '영구임대', '총세대수*전용면적', '공가수']",132.6818687807201,143.29963863238459,129.48277316379568,132.41112753833605,133.88262863983215,131.25238808639773
"['0~19 인구수', '영구임대', '장기전세', '공가수']",138.86893403159212,135.27034019893668,135.75232317361184,143.81473218176168,134.70125443303726,142.05770025670867
"['0~19 인구수', '영구임대', '전용면적별세대수*전용면적', '공가수']",128.23020401130117,144.92826560639122,126.9553421115281,134.33837225380046,126.74660910888898,131.4103021580265
"['0~19 인구수', '영구임대', '공공임대(분납)', '공가수']",139.04809740127553,135.22711101852164,136.27889468535446,143.9458888544973,135.16709384455723,141.7505394534233
"['0~19 인구수', '영구임대', '공가비율*전용면적', '공가수']",128.5838220672162,134.81681041887424,127.62097844710908,130.8045040464409,129.34155194281226,133.50330905887012
"['0~19 인구수', '영구임대', '공공임대(10년)', '공가수']",132.28052662231968,134.8651745497426,130.14404231044233,136.53763800949284,126.97437670779179,135.34249740972064
"['0~19 인구수', '영구임대', '공공임대(5년)', '공가수']",138.55308399059422,135.25490178928817,136.29312518687075,143.9959565383367,134.6046942917253,140.56654402093585
"['0~19 인구수', '영구임대', '남/여_40~69세', '공가수']",135.10806869556967,135.28527017031507,135.65184205014253,134.9792496734658,127.96437025788093,137.61882855016825
"['0~19 인구수', '영구임대', '공공임대(50년)', '공가수']",137.95800401887996,135.27050179038113,134.62718356877244,142.53216051478938,134.84906058304813,140.41555088431687
"['0~19 인구수', '영구임대', '전용면적*연면적', '공가수']",130.54637618699198,142.02768514621636,130.27632826424923,134.71478988894697,130.13789507295968,134.87480120132494
"['0~19 인구수', '영구임대', 'subway_dist', '공가수']",133.53476845415213,135.2339563982144,132.68088152421763,134.96994618035342,134.55947692496468,135.85858216535206
"['0~19 인구수', '영구임대', '환승역 수', '공가수']",141.71521583962343,135.29122406825033,137.7863231573658,145.94212436968934,134.83761652503796,142.90884818962726
"['0~19 인구수', '영구임대', '남/여_20~39세', '공가수']",141.45712662197047,135.28159056348852,137.64646047997317,143.18707394904428,136.7890118454495,143.0978552935689
"['0~19 인구수', '영구임대', '총인구수', '공가수']",135.9128466103561,144.04318949886905,133.61902032439156,143.76452276451892,132.17159054776292,138.47124135681065
"['0~19 인구수', '영구임대', '남/여비율', '공가수']",139.81505466130355,135.27799339865348,137.22389026214347,146.89577435496653,134.9948999242659,146.35936674827192
"['0~19 인구수', '영구임대', '40~69 인구수', '공가수']",134.33650285849615,138.417014444276,134.65944379324498,137.99944611057265,133.90465841757054,138.82524087263124
"['0~19 인구수', '영구임대', '세대당_인구', '공가수']",137.23899979921686,135.2954361240907,135.4253202034946,142.6985354290593,134.33824482600235,141.3262603894042
"['0~19 인구수', '영구임대', '임대보증금', '공가수']",125.65929457959196,137.51104696229172,125.94888002518368,124.9482215491312,126.26242404683151,125.08049057710384
"['0~19 인구수', '영구임대', '상가비율', '공가수']",136.59856286468843,135.2130583499295,133.77904399407265,144.23928193378475,135.32528437608963,140.1487003631143
"['0~19 인구수', '영구임대', '임대료', '공가수']",123.19792927205363,130.1655590521018,125.18362784649992,124.44421576344075,124.86547331421335,124.36129590948221
"['0~19 인구수', '전용면적별세대수', '영구임대', '공가수']",135.3101645502239,138.09362814098122,134.7977352195775,136.70224966593042,132.81281391443872,135.63525672667419
"['0~19 인구수', '전용면적별세대수', '버스정류장', '공가수']",137.11877090662395,138.06381818039276,137.21563627219186,135.7643038994301,132.3611830716527,139.73352213776835
"['0~19 인구수', '전용면적별세대수', '20~39 인구수', '공가수']",136.15218209251924,137.37884204186372,134.210460743225,136.7051164989338,134.81744309429274,135.6754194209485
"['0~19 인구수', '전용면적별세대수', '총세대수', '공가수']",136.94466337440187,134.42722276323326,135.6990309670262,139.27158817551657,136.63110013571105,140.24038045956777
"['0~19 인구수', '전용면적별세대수', '지하철역', '공가수']",138.9776520441348,138.0986347483537,138.51435248657828,139.069144966807,134.69990425193564,138.40987213397847
"['0~19 인구수', '전용면적별세대수', '공가비율', '공가수']",137.04673241756484,138.1132043081054,137.52520606310173,142.13420450809326,135.6947503969231,140.4117641450335
"['0~19 인구수', '전용면적별세대수', '공공분양', '공가수']",138.08879111283298,138.10134635902372,137.59091386021254,137.12083749721143,134.79689819242714,139.497864073258
"['0~19 인구수', '전용면적별세대수', '행복주택', '공가수']",137.9513960681069,138.11092283451143,137.0967424412002,137.61167502669028,135.18649951512154,137.02701963694042
"['0~19 인구수', '전용면적별세대수', '국민임대', '공가수']",135.54708278123402,138.1172940254723,136.1153542529125,136.2133994174823,134.04880348258393,137.1309930475583
"['0~19 인구수', '전용면적별세대수', '전용면적/임대료', '공가수']",130.18304698477462,138.07979757288473,130.3426771194097,130.96364175801128,129.14132355216535,136.69293667311317
