단지코드,총세대수,전용면적,전용면적별세대수,공가수,임대보증금,임대료,지하철역,버스정류장,단지내주차면수,등록차량수,연면적,위도,경도,subway_dist,환승역 수,총인구수,세대당_인구,남/여비율,남/여_0~19세,남/여_20~39세,남/여_40~69세,남/여_70세이상,0~19세_비율,20~39세_비율,40~69세_비율,70세이상_비율,전용면적_std,전용면적별세대수_std,임대보증금_std,임대료_std,강원도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,세종특별자치시,울산광역시,전라남도,전라북도,제주특별자치도,충청남도,충청북도,상가,아파트,공공임대(50년),공공임대(분납),국민임대,영구임대,임대상가,행복주택,"공공임대(5년,10년)",A,C,D,E,G,H,I,J,K,L,M,N
C1000,566.0,45.21857142857142,80.85714285714286,10.0,13203571.42857143,121064.28571428571,0.0,1.0,438.0,481.0,5997.71,127.646564228166,37.1098499223698,0.1739472121758492,1.0,9912.0,1.9000000000000001,1.03,1.5113924050632914,1.1904761904761905,1.1219512195121952,0.7293532338308458,0.12580710250201774,0.18099273607748176,0.5178571428571429,0.17534301856335752,5.581070472503248,106.51827475669542,2298347.294408372,24854.295978189137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C1004,521.0,39.136842105263156,27.42105263157895,3.0,9645112.295059804,723662.5174776226,0.0,2.0,153.0,93.0,948.7599999999999,127.13373769124901,36.823997054057386,0.01810000620693632,1.0,21296.0,1.6550000000000005,1.1400000000000001,1.7825719120135368,1.2579914757591903,1.1828975773566803,0.6887417218543046,0.0968022163786626,0.3980324943651389,0.42733377160030067,0.07783151765589784,49.52085038453012,79.24176493454395,13841933.488754408,2538365.2428319287,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,2,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
C1005,1144.0,54.35999999999999,381.3333333333333,16.0,17107666.666666668,222046.66666666666,0.0,8.0,950.0,376.0,5.688,127.11926815857822,36.8209585899009,0.025748676877391897,1.0,40542.0,2.82,1.01,2.102865540044085,1.0074740954645829,1.0220946198976408,0.6469879518072289,0.2752207587193527,0.2915001726604509,0.3995609491391643,0.033718119481032004,4.5783949152514145,192.05554752032893,1441397.3544215113,21445.480487350556,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C1013,1308.0,46.141999999999996,261.6,16.0,24924800.0,134726.0,0.0,6.0,1119.0,1665.0,7272.904,126.871506562277,35.170156786886395,0.018665139884399964,1.0,16229.0,2.57,0.9,1.6394671107410492,0.9916573971078975,0.8645935357492653,0.6268656716417911,0.24296013309507672,0.2206543841271797,0.46922176350976647,0.067163719267977,4.336925178049536,163.1235727906914,3233078.285473459,17036.885865673925,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C1014,996.0,49.23285714285715,142.28571428571428,5.0,23894000.0,160488.57142857142,0.0,2.0,823.0,708.0,6141.510000000001,127.36935928045298,35.400248491030204,0.5157590558150345,1.0,6632.0,2.1200000000000006,0.9399999999999997,1.6454081632653064,1.095890410958904,0.9967574578469521,0.5984496124031008,0.19571773220747893,0.18455971049457173,0.464264173703257,0.1554583835946924,8.994323606745374,170.02324771014335,7448971.204132823,18903.525622284873,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C1015,961.0,46.0475,120.125,28.0,15871250.0,136192.5,0.0,3.0,928.0,579.0,8215.07,128.83370771142498,35.1516949304858,0.08578685839676362,1.0,34231.0,2.1200000000000006,1.16,2.998348472336912,1.2686992761570524,1.2020020917376364,0.7196620583717357,0.2018930209459262,0.302153019193129,0.43054541205340197,0.0654085478075428,9.457327846701732,112.28463512749323,6456388.746261887,47470.65913352614,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C1017,1460.0,36.836666666666666,486.6666666666667,27.0,19917000.0,229706.66666666666,0.0,2.0,1534.0,1246.0,34.76,127.346075091304,36.3404380940168,0.014065851556597071,1.0,45840.0,2.42,0.92,2.1671342685370742,0.9294207317073172,0.8715511672972225,0.6995073891625617,0.2287521815008726,0.2761125654450261,0.4424520069808027,0.052683246073298405,10.055915340402052,141.38363884599,11884282.09863768,70281.09442327527,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C1022,389.0,46.9,97.25,4.0,24665000.0,221980.0,0.0,4.0,352.0,450.0,4287.225,127.14957125471511,37.295462546196774,0.02132132720584792,1.0,39189.0,2.63,0.94,1.7811550151975684,1.01142313184198,0.9059711007224821,0.7492795389048992,0.2026589093878384,0.21567276531679802,0.4577560029600143,0.1239123223353492,0.0,40.202611855450385,0.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C1024,680.0,78.423,47.7,2.0,103772700.0,970947.0,0.0,3.0,877.0,957.0,7321.5700000000015,127.101393788617,37.47483527984661,0.010902747772451234,2.0,43782.0,2.4400000000000004,0.9000000000000001,1.8683876428269148,0.8759961746891936,0.9133953864832052,0.7503100454733361,0.20250331186332277,0.26883194006669414,0.4319583390434425,0.0967064090265405,8.165700691170224,46.20738276749964,16163394.700165352,121856.4295527049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
C1026,290.0,55.825,145.0,10.0,24147500.0,109280.0,0.0,2.0,205.0,422.0,37.38,128.450305746386,35.823330221295,0.03739184168522571,1.0,8379.0,2.04,1.08,1.7768361581920904,1.2554179566563468,1.1761477045908184,0.7010050251256281,0.1440506026972192,0.1738870986991287,0.52046783625731,0.16159446234634198,5.890199487283942,49.49747468305833,1798172.5445573903,17960.512242138306,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
