iter	Passed	Remaining
0	3	3405
1	5	2964
2	7	2527
3	9	2317
4	11	2229
5	12	2131
6	14	2054
7	16	1999
8	17	1954
9	19	1922
10	21	1894
11	32	2652
12	35	2723
13	39	2771
14	42	2764
15	46	2829
16	48	2819
17	50	2769
18	52	2728
19	56	2787
20	61	2880
21	66	2961
22	74	3167
23	78	3211
24	82	3206
25	86	3230
26	91	3304
27	117	4064
28	123	4122
29	127	4122
30	130	4082
31	131	3985
32	133	3906
33	137	3900
34	140	3879
35	144	3860
36	146	3818
37	149	3783
38	153	3787
39	158	3806
40	163	3822
41	167	3811
42	170	3801
43	174	3790
44	178	3778
45	181	3762
46	184	3734
47	185	3688
48	187	3640
49	198	3764
50	199	3719
51	203	3702
52	206	3685
53	209	3671
54	212	3654
55	225	3797
56	231	3830
57	243	3960
58	247	3943
59	250	3930
60	254	3911
61	263	3986
62	266	3966
63	269	3947
64	271	3902
65	274	3883
66	277	3865
67	280	3849
68	284	3832
69	287	3814
70	290	3795
71	293	3782
72	296	3768
73	299	3745
74	302	3731
75	306	3722
76	309	3709
77	312	3697
78	315	3683
79	319	3669
80	322	3663
81	324	3638
82	328	3625
83	331	3613
84	334	3601
85	338	3600
86	342	3589
87	345	3577
88	348	3565
89	353	3572
90	358	3578
91	367	3626
92	370	3614
93	373	3602
94	386	3681
95	391	3683
96	394	3671
97	397	3659
98	400	3646
99	403	3635
100	405	3610
101	409	3601
102	412	3593
103	415	3583
104	419	3576
105	424	3581
106	431	3600
107	436	3605
108	440	3597
109	443	3587
110	446	3576
111	473	3751
112	478	3755
113	481	3743
114	485	3733
115	488	3722
116	492	3713
117	495	3701
118	498	3691
119	501	3681
120	505	3669
121	508	3658
122	511	3647
123	514	3637
124	518	3627
125	523	3630
126	526	3621
127	530	3613
128	534	3607
129	538	3604
130	543	3604
131	548	3609
132	552	3600
133	566	3663
134	571	3660
135	574	3649
136	577	3640
137	581	3630
138	591	3664
139	649	3987
140	652	3973
141	654	3955
142	656	3933
143	657	3910
144	659	3887
145	661	3869
146	663	3847
147	682	3930
148	684	3908
149	687	3895
150	690	3883
151	693	3870
152	698	3867
153	701	3855
154	705	3847
155	709	3836
156	712	3824
157	714	3806
158	718	3800
159	723	3799
160	727	3790
161	730	3780
162	734	3769
163	737	3761
164	741	3750
165	743	3736
166	746	3724
167	748	3707
168	750	3689
169	752	3671
170	753	3653
171	755	3635
172	757	3622
173	760	3612
174	764	3603
175	766	3587
176	769	3578
177	773	3571
178	776	3559
179	779	3550
180	782	3540
181	784	3525
182	786	3512
183	788	3495
184	789	3480
185	791	3464
186	794	3455
187	798	3450
188	803	3447
189	807	3444
190	812	3440
191	816	3436
192	820	3430
193	823	3421
194	826	3411
195	828	3398
196	830	3386
197	832	3371
198	834	3357
199	835	3342
200	837	3328
201	840	3321
202	844	3317
203	848	3310
204	851	3304
205	855	3297
206	858	3290
207	862	3285
208	865	3275
209	869	3269
210	874	3270
211	879	3269
212	881	3257
213	883	3244
214	886	3236
215	889	3229
216	893	3223
217	896	3216
218	899	3209
219	903	3202
220	906	3196
221	909	3188
222	911	3176
223	913	3164
224	915	3151
225	917	3140
226	918	3128
227	920	3116
228	922	3104
229	924	3093
230	925	3081
231	927	3069
232	928	3057
233	932	3051
234	935	3045
235	938	3039
236	942	3033
237	946	3029
238	949	3023
239	952	3017
240	955	3008
241	956	2996
242	959	2990
243	963	2984
244	966	2979
245	969	2971
246	974	2970
247	977	2964
248	979	2953
249	980	2942
250	982	2931
251	984	2922
252	987	2916
253	991	2911
254	994	2905
255	997	2899
256	1000	2893
257	1004	2887
258	1007	2883
259	1010	2877
260	1014	2871
261	1017	2866
262	1021	2862
263	1023	2852
264	1024	2840
265	1025	2829
266	1026	2818
267	1028	2808
268	1029	2798
269	1031	2788
270	1033	2779
271	1035	2770
272	1036	2760
273	1038	2750
274	1039	2741
275	1041	2731
276	1044	2725
277	1047	2720
278	1050	2714
279	1053	2708
280	1055	2699
281	1056	2690
282	1058	2681
283	1059	2672
284	1063	2667
285	1064	2658
286	1066	2649
287	1068	2640
288	1069	2631
289	1071	2622
290	1072	2613
291	1074	2605
292	1076	2596
293	1079	2591
294	1081	2585
295	1083	2576
296	1084	2568
297	1087	2561
298	1089	2555
299	1093	2550
300	1096	2546
301	1099	2541
302	1102	2536
303	1105	2531
304	1107	2523
305	1108	2515
306	1110	2506
307	1112	2499
308	1114	2491
309	1115	2483
310	1117	2475
311	1119	2468
312	1122	2464
313	1125	2459
314	1129	2455
315	1133	2452
316	1136	2449
317	1140	2445
318	1143	2440
319	1146	2436
320	1148	2428
321	1151	2423
322	1154	2419
323	1157	2414
324	1160	2409
325	1163	2405
326	1166	2400
327	1169	2395
328	1170	2388
329	1172	2380
330	1174	2373
331	1177	2368
332	1180	2364
333	1182	2357
334	1183	2349
335	1185	2342
336	1187	2335
337	1188	2328
338	1190	2320
339	1191	2313
340	1195	2309
341	1198	2305
342	1201	2300
343	1202	2293
344	1205	2289
345	1209	2285
346	1211	2280
347	1213	2272
348	1214	2265
349	1216	2258
350	1218	2252
351	1220	2246
352	1222	2241
353	1226	2237
354	1229	2233
355	1231	2226
356	1232	2220
357	1234	2214
358	1237	2208
359	1240	2204
360	1243	2200
361	1246	2196
362	1249	2192
363	1252	2187
364	1253	2181
365	1255	2174
366	1257	2168
367	1258	2161
368	1260	2155
369	1263	2151
370	1266	2146
371	1269	2143
372	1274	2142
373	1281	2144
374	1284	2140
375	1288	2137
376	1290	2132
377	1293	2128
378	1297	2126
379	1300	2121
380	1303	2118
381	1307	2115
382	1310	2111
383	1314	2108
384	1317	2104
385	1321	2101
386	1324	2097
387	1326	2092
388	1328	2086
389	1329	2079
390	1332	2076
391	1334	2070
392	1336	2064
393	1339	2060
394	1341	2054
395	1342	2048
396	1344	2042
397	1346	2036
398	1347	2029
399	1349	2024
400	1351	2018
401	1355	2015
402	1357	2011
403	1361	2007
404	1364	2004
405	1367	2000
406	1370	1997
