?⑥?肄붾뱶,珥앹꽭????꾨?嫄대Ъ援щ텇,吏??怨듦툒?좏삎,?꾩슜硫댁쟻,?꾩슜硫댁쟻蹂꾩꽭???怨듦????먭꺽?좏삎,?꾨?蹂댁쬆湲??꾨?猷?吏?섏쿋??踰꾩뒪?뺣쪟???⑥??댁＜李⑤㈃???깅줉李⑤웾???⑥?紐??꾨줈紐낆＜???곕㈃???꾨룄,寃쎈룄,subway_name,subway_dist,?섏듅????珥앹씤援ъ닔,?몃????멸뎄,???щ퉬??????0~19??????20~39??????40~69??????70?몄씠??0~19??鍮꾩쑉,20~39??鍮꾩쑉,40~69??鍮꾩쑉,70?몄씠??鍮꾩쑉,,,,,,,,,,,,,,,,,,,
C2483,900,?꾪뙆??寃쎌긽遺곷룄,援???꾨?,39.72,134,38,A,15667000,103680,0,3,1425,1015,?ы빆?λ웾?대㉫?쒖븘1?⑥?,寃쎌긽遺곷룄 ?ы빆??遺곴뎄 ?λ웾以묒븰濡?17,8409.554,129.3828307,36.09188153,?곷궓???0.6799644654479026,1,73070,2.51,1.03,2.082087782,1.110071547,0.981937312,0.787692308,0.230436568,0.26235117,0.459504585,0.047707678,,
C2483,900,?꾪뙆??寃쎌긽遺곷룄,援???꾨?,39.72,15,38,A,15667000,103680,0,3,1425,1015,?ы빆?λ웾?대㉫?쒖븘1?⑥?,寃쎌긽遺곷룄 ?ы빆??遺곴뎄 ?λ웾以묒븰濡?17,8409.554,129.3828307,36.09188153,?곷궓???0.6799644654479026,1,73070,2.51,1.03,2.082087782,1.110071547,0.981937312,0.787692308,0.230436568,0.26235117,0.459504585,0.047707678,,
C2483,900,?꾪뙆??寃쎌긽遺곷룄,援???꾨?,51.93,385,38,A,27304000,184330,0,3,1425,1015,?ы빆?λ웾?대㉫?쒖븘1?⑥?,寃쎌긽遺곷룄 ?ы빆??遺곴뎄 ?λ웾以묒븰濡?17,8409.554,129.3828307,36.09188153,?곷궓???0.6799644654479026,1,73070,2.51,1.03,2.082087782,1.110071547,0.981937312,0.787692308,0.230436568,0.26235117,0.459504585,0.047707678,,
C2483,900,?꾪뙆??寃쎌긽遺곷룄,援???꾨?,51.93,15,38,A,27304000,184330,0,3,1425,1015,?ы빆?λ웾?대㉫?쒖븘1?⑥?,寃쎌긽遺곷룄 ?ы빆??遺곴뎄 ?λ웾以묒븰濡?17,8409.554,129.3828307,36.09188153,?곷궓???0.6799644654479026,1,73070,2.51,1.03,2.082087782,1.110071547,0.981937312,0.787692308,0.230436568,0.26235117,0.459504585,0.047707678,,
C2483,900,?꾪뙆??寃쎌긽遺곷룄,援???꾨?,51.93,41,38,A,27304000,184330,0,3,1425,1015,?ы빆?λ웾?대㉫?쒖븘1?⑥?,寃쎌긽遺곷룄 ?ы빆??遺곴뎄 ?λ웾以묒븰濡?17,8409.554,129.3828307,36.09188153,?곷궓???0.6799644654479026,1,73070,2.51,1.03,2.082087782,1.110071547,0.981937312,0.787692308,0.230436568,0.26235117,0.459504585,0.047707678,,
C2483,900,?꾪뙆??寃쎌긽遺곷룄,援???꾨?,51.95,89,38,A,27304000,184330,0,3,1425,1015,?ы빆?λ웾?대㉫?쒖븘1?⑥?,寃쎌긽遺곷룄 ?ы빆??遺곴뎄 ?λ웾以묒븰濡?17,8409.554,129.3828307,36.09188153,?곷궓???0.6799644654479026,1,73070,2.51,1.03,2.082087782,1.110071547,0.981937312,0.787692308,0.230436568,0.26235117,0.459504585,0.047707678,,
C2483,900,?꾪뙆??寃쎌긽遺곷룄,援???꾨?,51.95,135,38,A,27304000,184330,0,3,1425,1015,?ы빆?λ웾?대㉫?쒖븘1?⑥?,寃쎌긽遺곷룄 ?ы빆??遺곴뎄 ?λ웾以묒븰濡?17,8409.554,129.3828307,36.09188153,?곷궓???0.6799644654479026,1,73070,2.51,1.03,2.082087782,1.110071547,0.981937312,0.787692308,0.230436568,0.26235117,0.459504585,0.047707678,,
C2483,900,?꾪뙆??寃쎌긽遺곷룄,援???꾨?,59.88,86,38,A,30357000,214270,0,3,1425,1015,?ы빆?λ웾?대㉫?쒖븘1?⑥?,寃쎌긽遺곷룄 ?ы빆??遺곴뎄 ?λ웾以묒븰濡?17,8409.554,129.3828307,36.09188153,?곷궓???0.6799644654479026,1,73070,2.51,1.03,2.082087782,1.110071547,0.981937312,0.787692308,0.230436568,0.26235117,0.459504585,0.047707678,,
C2515,545,?꾪뙆??寃쎌긽?⑤룄,援???꾨?,33.48,276,17,A,9216000,82940,0,3,624,205,誘몄닔?대㉫?쒖븘,寃쎌긽?⑤룄 ?듭쁺??誘몄슦吏?댁븞濡?107,1213.87,128.3965046,34.82422654,?ㅻ??ы빐?섏슃?μ뿭,0.611738735,1,11129,2.3,0.97,1.76124031,1.036597428,0.983953568,0.588839941,0.19561506,0.18501213,0.52214934,0.09722347,
C2515,545,?꾪뙆??寃쎌긽?⑤룄,援???꾨?,39.6,60,17,A,12672000,107130,0,3,624,205,誘몄닔?대㉫?쒖븘,寃쎌긽?⑤룄 ?듭쁺??誘몄슦吏?댁븞濡?107,1213.87,128.3965046,34.82422654,?ㅻ??ы빐?섏슃?μ뿭,0.611738735,1,11129,2.3,0.97,1.76124031,1.036597428,0.983953568,0.588839941,0.19561506,0.18501213,0.52214934,0.09722347,
