총세대수,공가수,지하철역,버스정류장,단지내주차면수,연면적,위도,경도,subway_dist,환승역 수,총인구수,세대당_인구,남/여비율,남/여_0~19세,남/여_20~39세,남/여_40~69세,남/여_70세이상,0~19세_비율,20~39세_비율,40~69세_비율,70세이상_비율,상가비율,세대당_가능주차면수,공가비율,국민임대,영구임대,공공임대(단기),장기전세,행복주택,공공임대(분납),공공분양,공공임대(50년),임대료,임대보증금,대형전용면적,지역_경기도,지역_경상남도,지역_경상북도,지역_광주광역시,지역_대구광역시,지역_대전광역시,지역_부산광역시,지역_서울특별시,지역_세종특별자치시,지역_울산광역시,지역_전라남도,지역_전라북도,지역_제주특별자치도,지역_충청남도,지역_충청북도
545,17.0,0.0,3.0,624.0,1213.87,128.39650457033545,34.8242265414328,0.6117387352267986,1,11129.0,2.3,0.97,1.7612403100775194,1.0365974282888228,0.9839535677705702,0.5888399412628488,0.1956150597537964,0.1850121304699434,0.5221493395633031,0.0972234702129571,0.0,1.144954128440367,0.031192660550458717,545,0,0,0,0,0,0,0,139557.14285714287,16787142.85714286,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
755,6.0,1.0,3.0,734.0,6017.76,127.24077274083449,37.65839027630814,0.0063432642224209,1,57499.0,2.65,0.95,1.99057412167952,0.9644031451036454,0.9376932941087728,0.6974320803870487,0.2349432164037635,0.2389780691838119,0.4467555957494913,0.0793231186629332,0.0,0.9721854304635762,0.007947019867549669,635,0,0,0,0,0,0,0,200914.0,24060600.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
696,14.0,0.0,2.0,645.0,6611.9,126.9311660050544,35.94671124015283,0.3784879111614131,2,7783.0,2.0,0.98,1.822368421052632,1.1859375,1.049409237379162,0.6716417910447762,0.1428754978799948,0.1797507387896698,0.4902993704227162,0.1870743929076192,0.0,0.9267241379310345,0.020114942528735632,696,0,0,0,0,0,0,0,120150.0,17722750.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
566,9.0,0.0,6.0,517.0,6749.2,126.931972402425,35.9485646523394,0.3766135295417959,2,7783.0,2.0,0.98,1.822368421052632,1.1859375,1.049409237379162,0.6716417910447762,0.1428754978799948,0.1797507387896698,0.4902993704227162,0.1870743929076192,0.0,0.9134275618374559,0.015901060070671377,566,0,0,0,0,0,0,0,119148.33333333333,17422333.333333332,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
624,13.0,0.0,5.0,634.0,4595.19,127.305031093423,36.377198918698895,0.0132103578773013,1,28168.0,2.6,0.9733333333333332,1.940445269016697,1.008714596949891,0.9441125152011844,0.7318622534269476,0.2417282022152797,0.2618574268673672,0.4351154974912431,0.06129887342611,0.0,1.016025641025641,0.020833333333333332,604,0,0,0,0,0,0,0,174081.81818181818,31163363.636363637,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
361,13.0,0.0,5.0,288.0,2768.614,127.981035991168,37.4882886027589,0.3515500671119634,1,20964.0,2.2,1.02,1.8348813209494323,1.120215897939156,1.0952677459526774,0.6599147121535182,0.1638046174394199,0.2061152451822171,0.4815397824842587,0.1485403548941041,0.0,0.7977839335180056,0.036011080332409975,361,0,0,0,0,0,0,0,198050.0,16220333.333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
754,15.0,0.0,6.0,530.0,913.34,126.90695231720612,35.141552996216745,0.0118953425824115,1,8983.0,2.1133333333333333,0.9533333333333336,1.859649122807017,1.0466726889491116,0.9267106089139988,0.7704691812327505,0.1493932984526327,0.2522171509146907,0.4555642138854874,0.1428253367471891,0.0,0.7029177718832891,0.01989389920424403,754,0,0,0,0,0,0,0,192250.0,32443000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
240,8.0,0.0,10.0,168.0,529.44,126.902822600905,35.1401129837952,0.0139888189547879,1,8983.0,2.1133333333333333,0.9533333333333336,1.859649122807017,1.0466726889491116,0.9267106089139988,0.7704691812327505,0.1493932984526327,0.2522171509146907,0.4555642138854874,0.1428253367471891,0.0,0.7,0.03333333333333333,240,0,0,0,0,0,0,0,192250.0,32443000.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
688,0.0,0.0,5.0,631.0,6374.996,128.88563180131382,37.76945080486318,0.4680908093557402,1,17023.0,2.135,0.975,1.7215116279069766,1.1056245048851334,0.932944259171034,0.7091435664046338,0.1677730129824355,0.2342125359807319,0.4766786112906069,0.1213358397462257,0.0,0.9171511627906976,0.0,688,0,0,0,0,0,0,0,88963.33333333333,16121666.666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
623,0.0,0.0,2.0,222.0,849.68,128.9153581539591,37.77048643738397,0.4571851480111336,1,11676.5,1.955,0.975,1.7295742232451092,1.1751824817518248,0.9501380542471984,0.7190786179268903,0.1219115317089881,0.2169314434976234,0.5141523572988481,0.1470046674945403,0.0,0.3563402889245586,0.0,0,0,0,0,0,0,0,623,156483.33333333334,10588333.333333334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
