iter	Passed	Remaining
0	2	2708
1	5	2852
2	8	2842
3	11	2837
4	14	2835
5	17	2838
6	19	2806
7	22	2760
8	24	2746
9	27	2745
10	31	2807
11	34	2832
12	37	2834
13	40	2842
14	43	2858
15	46	2847
16	49	2850
17	52	2840
18	54	2821
19	56	2788
20	59	2774
21	62	2766
22	65	2765
23	67	2748
24	70	2730
25	72	2717
26	75	2705
27	77	2685
28	79	2671
29	81	2646
30	84	2649
31	87	2642
32	90	2647
33	92	2639
34	95	2639
35	98	2625
36	100	2611
37	102	2600
38	104	2585
39	107	2576
40	109	2566
41	112	2557
42	114	2551
43	116	2541
44	119	2529
45	121	2519
46	123	2513
47	126	2506
48	128	2494
49	130	2487
50	133	2485
51	135	2472
52	137	2463
53	140	2454
54	142	2444
55	144	2444
56	147	2441
57	149	2426
58	151	2415
59	153	2402
60	154	2384
61	156	2371
62	158	2359
63	161	2355
64	163	2351
65	165	2348
66	168	2344
67	170	2342
68	173	2336
69	175	2333
70	177	2328
71	179	2310
72	181	2307
73	183	2301
74	186	2297
75	188	2294
76	191	2291
77	193	2287
78	195	2276
79	197	2272
80	200	2269
81	202	2266
82	204	2261
83	206	2254
84	208	2243
85	210	2239
86	213	2235
87	215	2231
88	218	2232
89	220	2231
90	222	2224
91	225	2221
92	227	2217
93	229	2214
94	232	2211
95	234	2207
96	236	2203
97	238	2199
98	241	2196
99	243	2192
100	246	2189
101	248	2185
102	250	2181
103	252	2177
104	255	2173
105	257	2168
106	258	2161
107	260	2152
108	262	2148
109	265	2146
110	267	2141
111	269	2134
112	271	2127
113	272	2121
114	275	2118
115	277	2115
116	280	2113
117	282	2111
118	284	2109
119	287	2106
120	289	2104
121	292	2102
122	296	2113
123	298	2110
124	300	2106
125	302	2100
126	305	2097
127	307	2095
128	309	2092
129	312	2090
130	314	2088
131	317	2087
132	319	2084
133	321	2074
134	323	2071
135	327	2079
136	329	2076
137	332	2075
138	334	2073
139	337	2071
140	339	2069
141	341	2065
142	344	2062
143	346	2059
144	348	2057
145	351	2055
146	353	2053
147	356	2050
148	358	2048
149	361	2045
150	363	2044
151	365	2040
152	368	2038
153	370	2036
154	373	2035
155	375	2032
156	378	2030
157	380	2027
158	382	2022
159	384	2020
160	387	2018
