iter	Passed	Remaining
0	125	124891
1	134	67354
2	144	48080
3	154	38459
4	163	32530
5	171	28370
6	180	25552
7	189	23494
8	198	21894
9	208	20628
10	217	19552
11	226	18633
12	242	18409
13	250	17676
14	260	17074
15	268	16538
16	276	16001
17	283	15492
18	290	15008
19	298	14627
20	306	14289
21	315	14020
22	324	13786
23	331	13497
24	339	13223
25	346	12963
26	353	12722
27	362	12573
28	370	12409
29	378	12245
30	387	12118
31	395	11970
32	403	11835
33	412	11725
34	420	11607
35	429	11489
36	437	11395
37	445	11275
38	455	11212
39	463	11127
40	471	11029
41	479	10943
42	488	10862
43	496	10794
44	503	10686
45	512	10626
46	520	10549
47	528	10476
48	535	10392
49	544	10347
50	553	10292
51	560	10222
52	568	10159
53	574	10068
54	582	10014
55	589	9929
56	597	9878
57	603	9795
58	609	9717
59	616	9661
60	624	9610
61	632	9565
62	640	9530
63	649	9497
64	657	9454
65	665	9415
66	673	9380
67	680	9333
68	688	9287
69	695	9238
70	704	9216
71	712	9188
72	721	9160
73	730	9139
74	738	9112
75	746	9081
76	754	9041
77	763	9020
78	771	8992
79	778	8949
80	786	8917
81	793	8881
82	802	8863
83	811	8850
84	819	8823
85	828	8801
86	836	8777
87	845	8761
88	853	8736
89	862	8722
90	871	8704
91	879	8684
92	888	8669
93	898	8659
94	905	8627
95	914	8612
96	923	8595
97	932	8583
98	940	8559
99	949	8541
100	957	8522
101	966	8508
102	975	8498
103	983	8476
104	992	8458
105	1000	8434
106	1008	8418
107	1016	8397
108	1023	8365
109	1031	8347
110	1038	8320
111	1046	8300
112	1053	8271
113	1062	8254
114	1069	8233
115	1078	8215
116	1084	8182
117	1093	8173
118	1100	8150
119	1109	8137
120	1118	8122
121	1127	8110
122	1134	8092
123	1143	8076
124	1150	8054
125	1158	8038
126	1166	8020
127	1175	8010
128	1183	7993
129	1192	7983
130	1199	7953
131	1206	7934
132	1214	7916
133	1223	7908
134	1232	7896
135	1241	7888
136	1250	7874
137	1258	7860
138	1266	7847
139	1275	7836
140	1283	7822
141	1293	7814
142	1301	7800
143	1311	7793
144	1319	7780
145	1328	7771
146	1336	7755
147	1345	7746
148	1354	7735
149	1362	7720
150	1371	7711
151	1380	7702
152	1389	7692
153	1398	7684
154	1407	7675
155	1416	7664
156	1424	7650
157	1434	7643
158	1442	7631
159	1451	7618
160	1460	7609
161	1469	7601
162	1478	7594
163	1487	7581
164	1495	7570
165	1505	7562
166	1513	7550
167	1520	7530
168	1528	7514
169	1534	7491
170	1540	7470
171	1548	7453
172	1555	7435
173	1563	7422
174	1572	7411
175	1580	7401
176	1588	7387
177	1598	7383
178	1608	7375
179	1616	7363
180	1625	7353
181	1632	7338
182	1640	7325
183	1648	7308
184	1654	7289
185	1661	7271
186	1668	7253
187	1676	7238
188	1683	7225
189	1691	7212
190	1699	7199
191	1707	7185
192	1715	7174
193	1725	7168
194	1732	7154
195	1742	7146
196	1749	7132
197	1758	7123
198	1767	7115
199	1776	7107
200	1785	7098
201	1795	7092
