old;new
서울특별시 종로구 종로31가길 25-5;서울특별시 종로구 연지동 231 대보 마로니에시티
서울특별시 종로구 종로56길 23;서울특별시 종로구 숭인동 317-29
서울특별시 종로구 종로63라길 29;서울특별시 종로구 숭인동 72-28
서울특별시 종로구 종로 19;서울특별시 종로구 종로1가 24 르메이에르종로타운1
서울특별시 종로구 종로31길 46-30;서울특별시 종로구 연지동 193-2 주함해븐타워
서울특별시 종로구 종로31길 46-38;서울특별시 종로구 연지동 193-1 주함해븐타워
서울특별시 종로구 창경궁로16길 30;서울특별시 종로구 연지동 111 주함해븐타워 3동
서울특별시 종로구 홍지문2가길 5-1;서울특별시 종로구 홍지동 51-8
서울특별시 종로구 대학로9가길 9-8;서울특별시 종로구 명륜4가 127-12
서울특별시 종로구 혜화로12길 20-10;서울특별시 종로구 혜화동 6-70
서울특별시 종로구 필운대로5다길 3-1;서울특별시 종로구 누상동 152-1 래미안빌 비동
서울특별시 종로구 필운대로 108-5;서울특별시 종로구 신교동 26
서울특별시 종로구 필운대로9길 20;서울특별시 종로구 옥인동 47-478
서울특별시 종로구 평창12길 8-18;서울특별시 종로구 평창동 164 자유빌라
서울특별시 종로구 세검정로7가길 18;서울특별시 종로구 신영동 179-2
서울특별시 종로구 대학로5가길 15;서울특별시 종로구 연건동 88-1
서울특별시 종로구 진흥로 450-6;서울특별시 종로구 구기동 95-8 세원아트
서울특별시 종로구 지봉로12길 11;서울특별시 종로구 숭인동 56-37 다원빌
서울특별시 종로구 송월길 130;서울특별시 종로구 행촌동 211 경희궁자이 1단지
서울특별시 종로구 지봉로 108;서울특별시 종로구 숭인동 7-13 N.S숭인빌라
서울특별시 종로구 통일로 246-11;서울특별시 종로구 무악동 83 무악현대아파트
서울특별시 종로구 홍지문길 82;서울특별시 종로구 구기동 35-8 희진빌라
서울특별시 종로구 사직로1가길 4-1;서울특별시 종로구 행촌동 1-41 안식아트빌
서울특별시 종로구 평창길 14-8;서울특별시 종로구 평창동 327-13 우정빌라
서울특별시 종로구 평창길 14-9;서울특별시 종로구 평창동 327-1 우정빌라
서울특별시 중구 동호로33길 15;서울특별시 중구 오장동 145-1 오렌지카운티을지로
서울특별시 중구 퇴계로71길 36;서울특별시 중구 신당동 251-10
서울특별시 중구 마른내로 106;서울특별시 중구 오장동 90-8 정석그라시아
서울특별시 중구 동호로11나길 35;서울특별시 중구 신당동 432-469
서울특별시 중구 퇴계로36가길 90-12;서울특별시 중구 필동2가 123-19
서울특별시 중구 청구로21길 41-7;서울특별시 중구 신당동 404-12
서울특별시 중구 퇴계로 336-5;서울특별시 중구 광희동2가 189
서울특별시 중구 장충단로6가길 6;서울특별시 중구 장충동1가 48-2
서울특별시 중구 다산로 142-15;서울특별시 중구 신당동 340-38 청구 아트 빌리지
서울특별시 중구 다산로 142-13;서울특별시 중구 신당동 340-38 청구 아트 빌리지
서울특별시 중구 만리재로 175;서울특별시 중구 만리동2가 176-1 서울역센트럴자이
서울특별시 중구 만리재로27길 69;서울특별시 중구 만리동2가 218-105 만리동예술인협동조합
서울특별시 중구 청구로 64;서울특별시 중구 신당동 852 청구 e편한세상
서울특별시 중구 퇴계로90길 74;서울특별시 중구 신당동 851 래미안신당하이베르아파트
서울특별시 중구 청계천로 400;서울특별시 중구 황학동 2545 롯데캐슬베네치아
서울특별시 중구 중림로4길 41;서울특별시 중구 중림동 201 중림동삼성사이버빌리지
서울특별시 중구 다산로 32;서울특별시 중구 신당동 844 남산타운
