old;new
경상북도 포항시 북구 장량중앙로 17;경상북도 포항시 북구 양덕동 336-1 장량휴먼시아
경상남도 통영시 미우지해안로 107;경상남도 통영시 미수동 695 미수휴먼시아
대전광역시 유성구 상대로 40;대전광역시 유성구 상대동 465 도안휴먼시아4단지
경기도 남양주시 늘을3로 8;경기도 남양주시 호평동 712 주공Humansia
전라북도 익산시 오산면 선화로4길 66;전라북도 익산시 오산면 장신리 1130 장신휴먼시아1단지
전라북도 익산시 오산면 선화로4길 24-9;전라북도 익산시 오산면 장신리 1127 장신휴먼시아2단지
경기도 성남시 분당구 동판교로 92;경기도 성남시 분당구 백현동 546 백현마을3단지
대전광역시 유성구 지족로148번길 40;대전광역시 유성구 지족동 1051 노은4단지
강원도 횡성군 횡성읍 앞들서2로 34;강원도 횡성군 횡성읍 읍하리 172 횡성읍하 엘에이치아파트
광주광역시 남구 백운로 100;광주광역시 남구 백운동 686 광주백운3휴먼시아
광주광역시 남구 독립로80번길 8;광주광역시 남구 백운동 693 광주백운2휴먼시아
강원도 강릉시 가작로 85;강원도 강릉시 교동 1748 강릉교동(2)주공아파트
강원도 강릉시 하평길 55;강원도 강릉시 포남동 1293-4 송정주공아파트
강원도 춘천시 공지로 234-16;강원도 춘천시 효자동 333 효자주공8단지아파트
경상남도 거제시 장평2로 36;경상남도 거제시 장평동 144 장평3주공아파트
충청남도 당진시 석문면 해명1로 200;충청남도 당진시 석문면 통정리 1733 LH 천년나무 2단지아파트
충청남도 공주시 우금티로 709-12;충청남도 공주시 옥룡동 123
부산광역시 기장군 기장읍 차성로397번길 7;부산광역시 기장군 기장읍 교리 170 기장교리주공아파트
경상남도 김해시 가락로 222;경상남도 김해시 구산동 321 구산제1주공아파트
경상남도 김해시 능동로 76;경상남도 김해시 삼문동 61-3 젤미마을 주공2단지
대전광역시 서구 관저로 84;대전광역시 서구 관저동 1148 구봉마을 8단지
대전광역시 서구 관저동로 42;대전광역시 서구 관저동 1394 느리울마을아파트13단지
대전광역시 서구 월평북로 11;대전광역시 서구 월평동 218 주공아파트
대전광역시 중구 보문산로161번길 55;대전광역시 중구 문화동 779 주공1차아파트
대전광역시 유성구 반석로 46;대전광역시 유성구 반석동 616 반석마을4단지
대전광역시 대덕구 계족로663번길 34;대전광역시 대덕구 법동 283-1 주공아파트
대전광역시 동구 산내로 1352-25;대전광역시 동구 낭월동 205 주공아파트
대전광역시 중구 대전천서로 695;대전광역시 중구 중촌동 128-1 주공아파트2단지
대전광역시 동구 대전로542번길 78;대전광역시 동구 천동 529 휴먼시아1단지아파트
대전광역시 동구 옥천로 152-9;대전광역시 동구 판암동 314 주공아파트
대전광역시 동구 동부로 56-7;대전광역시 동구 판암동 239 주공아파트4단지
강원도 동해시 동굴로 15;강원도 동해시 천곡동 1098 동해천곡주공5차아파트
경상남도 창원시 마산회원구 내서읍 삼계2길 24;경상남도 창원시 마산회원구 내서읍 삼계리 39 마산삼계2주공아파트
경상남도 창원시 마산회원구 내서읍 상곡로 49;경상남도 창원시 마산회원구 내서읍 상곡리 193 상곡주공아파트1단지
경상남도 밀양시 중앙로 47;경상남도 밀양시 가곡동 455 가곡주공아파트
경상남도 밀양시 미리벌중앙로 35;경상남도 밀양시 삼문동 567 삼문휴먼시아아파트
충청남도 보령시 한내로터리길 92;충청남도 보령시 동대동 1966 휴먼시아3단지,4단지주공아파트
충청남도 보령시 주공로 50;충청남도 보령시 명천동 413 주공아파트
부산광역시 북구 효열로 268;부산광역시 북구 금곡동 53-1 금곡1단지주공아파트
부산광역시 북구 금곡대로616번길 10-9;부산광역시 북구 금곡동 98-1 금곡2단지주공아파트
부산광역시 북구 효열로 76;부산광역시 북구 금곡동 1108 금곡4단지주공아파트
부산광역시 북구 금곡대로550번길 23;부산광역시 북구 금곡동 811 금곡7단지주공아파트
부산광역시 영도구 상리로 1;부산광역시 영도구 동삼동 1123 주공아파트, 동삼그린힐아파트
부산광역시 영도구 동삼북로 2;부산광역시 영도구 동삼동 1121 주공아파트
부산광역시 북구 덕천로 74;부산광역시 북구 덕천동 808 주공아파트2단지
부산광역시 북구 함박봉로140번길 21;부산광역시 북구 만덕동 944-6 만덕3단지주공아파트
부산광역시 사상구 모라로192번길 20-21;부산광역시 사상구 모라동 75 모라주공아파트3단지
부산광역시 해운대구 신반송로 200;부산광역시 해운대구 반송동 77 주공아파트
부산광역시 북구 화명신도시로 255;부산광역시 북구 금곡동 1882 율리마을주공아파트
충청남도 부여군 부여읍 성왕로328번길 15;충청남도 부여군 부여읍 쌍북리 113 쌍북주공아파트
경상남도 사천시 주공1길 50;경상남도 사천시 벌리동 259 주공아파트
제주특별자치도 서귀포시 태평로512번길 9;제주특별자치도 서귀포시 동홍동 353-1 동홍3주공아파트
충청남도 서산시 석림4로 83;충청남도 서산시 석림동 463-1 주공아파트
강원도 원주시 예술관길 31;강원도 원주시 명륜동 705 명륜2단지아파트
울산광역시 울주군 삼남읍 봉화마을길 9;울산광역시 울주군 삼남읍 교동리 1555-4 교동주공아파트
울산광역시 북구 화산로 36;울산광역시 북구 화봉동 1440 화봉2주공아파트
강원도 원주시 문막읍 원문로 1684;강원도 원주시 문막읍 건등리 1742-1 원주문막주공아파트
부산광역시 기장군 정관읍 정관4로 23;부산광역시 기장군 정관읍 용수리 1359 정관신도시 휴먼시아1단지
제주특별자치도 제주시 인다12길 2;제주특별자치도 제주시 아라일동 6136 엘에이치아파트
제주특별자치도 제주시 진군1길 3;제주특별자치도 제주시 노형동 753 으뜸마을아파트
제주특별자치도 제주시 동화로1길 35;제주특별자치도 제주시 화북일동 9-1 화북3아파트
경상남도 진주시 가호로 26;경상남도 진주시 가좌동 660 진주가좌주공아파트
경상남도 진주시 진양호로125번길 6;경상남도 진주시 평거동 392 평거주공2아파트
경상남도 창원시 진해구 진해대로901번길 11;경상남도 창원시 진해구 자은동 909 주공아파트
경상남도 창녕군 창녕읍 말흘5길 33;경상남도 창녕군 창녕읍 말흘리 289 창녕주공아파트
충청남도 천안시 서북구 백석3로 70;충청남도 천안시 서북구 백석동 910 주공그린빌11단지3차아파트
충청남도 천안시 서북구 쌍용대로 289-28;충청남도 천안시 서북구 성정동 787 주공6단지아파트
충청남도 천안시 서북구 쌍용11길 57;충청남도 천안시 서북구 쌍용동 1284 주공7단지1차아파트
충청남도 청양군 청양읍 고리섬들길 53;충청남도 청양군 청양읍 읍내리 476 휴먼시아
강원도 춘천시 후석로228번길 47;강원도 춘천시 후평동 899 석사3아파트
강원도 태백시 삼방길 40;강원도 태백시 철암동 467 태백철암주공아파트
경상남도 통영시 발개로 153;경상남도 통영시 도남동 483-2 충무도남주공아파트
충청남도 홍성군 홍성읍 문화로72번길 72;충청남도 홍성군 홍성읍 남장리 522 홍성남장2주공아파트
제주특별자치도 제주시 화삼북로2길 12;제주특별자치도 제주시 화북일동 1002-1 삼화휴먼시아1단지
충청북도 제천시 청풍호로10길 18;충청북도 제천시 강제동 898 휴먼시아3단지아파트
