관리건축물대장PK,건물명,대지면적,건축면적,연면적,용적률산정연면적,용적률,세대수,가구수,도로명주소,지번주소
47113-100216867,장량휴먼시아,0,632.955,8409.554,8394.649,0,149,0,경상북도 포항시 북구 장량중앙로 17,경상북도 포항시 북구 양덕동 336-1
48220-100186682,미수휴먼시아,0,661.96,1213.87,240.83,0,0,0,경상남도 통영시 미우지해안로 107,경상남도 통영시 미수동 695
30200-100200744,도안휴먼시아4단지,0,707.15,4636.41,4636.41,0,102,0,대전광역시 유성구 상대로 40,대전광역시 유성구 상대동 465
41360-100216608,휴먼시아,0,385.99,6017.76,5951.08,0,76,0,경기도 남양주시 늘을3로 8,경기도 남양주시 호평동 712
45140-100190554,장신휴먼시아1단지,0,556.18,6611.9,6611.9,0,84,0,전라북도 익산시 오산면 선화로4길 66,전라북도 익산시 오산면 장신리 1130
45140-100187229,장신휴먼시아2단지,0,549.97,6749.2,6749.2,0,86,0,전라북도 익산시 오산면 선화로4길 24-9,전라북도 익산시 오산면 장신리 1127
41135-100219035,백현마을,0,314.363,3320.18,0,0,0,0,경기도 성남시 분당구 동판교로 92,경기도 성남시 분당구 백현동 546
30200-100216666,노은4단지,0,509.89,4595.19,4595.19,0,69,0,대전광역시 유성구 지족로148번길 40,대전광역시 유성구 지족동 1051
42730-100185047,횡성읍하 엘에이치아파트,0,265.458,2768.614,2768.614,0,39,0,강원도 횡성군 횡성읍 앞들서2로 34,강원도 횡성군 횡성읍 읍하리 172
29155-100194096,광주백운3휴먼시아,0,340.66,913.34,913.34,0,0,0,광주광역시 남구 백운로 100,광주광역시 남구 백운동 686
29155-130001288,광주백운2휴먼시아,0,179.12,529.44,529.44,0,0,0,광주광역시 남구 독립로80번길 8,광주광역시 남구 백운동 693
42150-11825,강릉교동(2) 주공아파트,0,545.652,6374.996,6345.654,0,90,0,강원도 강릉시 가작로 85,강원도 강릉시 교동 1748
42150-15284,주민복지관,16922.2,238.93,849.68,238.93,197.69,0,0,강원도 강릉시 하평길 55,강원도 강릉시 포남동 1293-4
42150-22036,입암3아파트,0,0,6730.06,6285.59,0,150,0,강원도 강릉시 강변로 510,강원도 강릉시 입암동 49-9
48310-10091, ,324,24.13,24.13,24.13,7.45,0,1,경상남도 거제시 장평2로 36,경상남도 거제시 장평동 144
44270-100255135,엘에이치천년나무2단지,0,0,108.54,0,0,0,0,충청남도 당진시 석문면 해명1로 200,충청남도 당진시 석문면 통정리 1733
44150-8480,주공아파트,16473,628.06,1237.9,1237.9,7.51,0,0,충청남도 공주시 우금티로 709-12,충청남도 공주시 옥룡동 123
26710-1546,기장교리주공아파트,0,309.097,307.977,307.977,0,0,0,부산광역시 기장군 기장읍 차성로397번길 7,부산광역시 기장군 기장읍 교리 170
48250-9770,구산제2주공아파트,0,278,1174.25,556,0,0,0,경상남도 김해시 가락로 222,경상남도 김해시 구산동 321
48250-102109925,젤미마을 주공2단지,0,0,3368.84,0,0,0,0,경상남도 김해시 능동로 76,경상남도 김해시 삼문동 61-3
30170-27721,구봉마을 8-1단지,0,460.987,8597.232,8213.783,0,115,0,대전광역시 서구 관저로 84,대전광역시 서구 관저동 1148
30170-27757,느리울마을,0,214.47,203.8,203.8,0,0,0,대전광역시 서구 관저동로 42,대전광역시 서구 관저동 1394
30170-25322,은뜰마을,0,446.39,1799.19,873.5,0,0,0,대전광역시 서구 월평북로 13,대전광역시 서구 월평동 218-7
30140-38314,주공아파트,0,488.76,7783.03,7202.97,217.07,120,0,대전광역시 중구 보문산로161번길 55,대전광역시 중구 문화동 779
30200-16819,반석마을4단지,0,262.853,215.2,215.2,0,0,0,대전광역시 유성구 반석로 46,대전광역시 유성구 반석동 616
30230-5890,주공아파트,0,588.45,9087.95,8505.03,0,180,0,대전광역시 대덕구 계족로663번길 34,대전광역시 대덕구 법동 283-1
