관리건축물대장PK,건물명,대지면적,건축면적,연면적,용적률산정연면적,용적률,세대수,가구수,도로명주소,지번주소
41210-100196153,광명역세권 휴먼시아,0,13.32,13.32,13.32,0,0,0,경기도 광명시 서원로 25,경기도 광명시 소하동 1391
41210-100193203,광명역세권 휴먼시아,0,456.86,3773.77,3723.44,0,64,0,경기도 광명시 성채안로 26,경기도 광명시 소하동 1373
45140-100188059,장신휴먼시아3단지,0,503.13,6006.87,5953.78,0,84,0,전라북도 익산시 오산면 선화로4길 14,전라북도 익산시 오산면 장신리 1126
41135-100221777,봇들마을,0,237.054,361.789,361.789,0,0,0,경기도 성남시 분당구 동판교로 212,경기도 성남시 분당구 삼평동 728
41135-100221066,백현마을,0,14.159,14.159,14.159,0,0,0,경기도 성남시 분당구 동판교로 91,경기도 성남시 분당구 백현동 553
45130-100198862,군산미장휴먼시아,0,588.978,5712.574,5712.574,0,74,0,전라북도 군산시 경포천로 34,전라북도 군산시 미장동 476
45210-100188358,김제교동휴먼시아,0,441.14,4541.27,4541.27,0,58,0,전라북도 김제시 교정길 36,전라북도 김제시 교동 399
48840-100177986,평리휴먼시아아파트,0,524.334,7014.963,6975.519,0,90,0,경상남도 남해군 남해읍 스포츠로 20,경상남도 남해군 남해읍 평리 1700
44230-100186739,휴먼시아아파트,0,525.485,6066.181,6066.181,0,78,0,충청남도 논산시 대화로 143,충청남도 논산시 대교동 330
30170-24137,주공아파트,0,102.65,102.65,102.65,0,0,0,대전광역시 서구 월평북로 11,대전광역시 서구 월평동 218
26230-42872,백양뜨란채,0,379.364,802.913,732.358,0,0,0,부산광역시 부산진구 백양산로53번길 125,부산광역시 부산진구 당감동 797
26530-5972,모라주공영구임대아파트,0,6.83,6.83,6.83,0,0,0,부산광역시 사상구 모라로192번길 20-21,부산광역시 사상구 모라동 75
26350-23854,해운대주공아파트,0,121.134,293.028,242.268,0,0,0,부산광역시 해운대구 대천로67번길 4,부산광역시 해운대구 좌동 1276
42210-100174540,속초청대주공아파트,0,429.454,4961.234,4908.241,0,65,0,강원도 속초시 소평로 112,강원도 속초시 조양동 1567
44200-8140,주공아파트 사회복지관,26267,909.12,2997.68,2049.68,7.8032512,0,0,충청남도 아산시 외암로 1420,충청남도 아산시 읍내동 206
48330-100199657,양산대석휴먼시아,0,694.074,8694.222,8545.179,0,126,0,경상남도 양산시 상북면 양산대로 1360,경상남도 양산시 상북면 대석리 808
31140-6835,달동(2)주공아파트 근로복지관,0,278,1199.25,556,0,0,0,울산광역시 남구 번영로107번길 5,울산광역시 남구 달동 119-1
31200-3545,호계1단지주공아파트,0,344.84,838.949,626.999,0,0,0,울산광역시 북구 동대12길 30,울산광역시 북구 호계동 264
31200-3527,호계2단지주공아파트,0,344.84,838.949,626.999,0,0,0,울산광역시 북구 동대11길 36,울산광역시 북구 호계동 263-1
