iter	Passed	Remaining
0	6	6560
1	9	4850
2	11	3825
3	13	3314
4	14	2833
5	16	2745
6	18	2654
7	20	2535
8	22	2441
9	29	2878
10	31	2874
11	33	2775
12	35	2692
13	37	2624
14	39	2563
15	40	2509
16	42	2463
17	44	2424
18	46	2387
19	47	2350
20	50	2375
21	55	2453
22	60	2561
23	63	2580
24	68	2662
25	73	2751
26	77	2807
27	80	2806
28	82	2775
29	84	2737
30	86	2702
31	88	2670
32	91	2670
33	92	2638
34	94	2607
35	96	2594
36	99	2588
37	106	2691
38	111	2749
39	117	2811
40	123	2895
41	125	2853
42	127	2845
43	131	2854
44	135	2870
45	137	2856
46	139	2827
47	143	2841
48	147	2857
49	153	2924
50	158	2947
51	163	2977
52	167	2991
53	171	2999
54	174	3004
55	177	2995
56	181	2994
57	191	3104
58	195	3111
59	198	3117
60	202	3121
61	206	3128
62	216	3213
63	219	3216
64	222	3201
65	226	3199
66	227	3174
67	229	3147
68	234	3160
69	236	3138
70	238	3120
71	264	3411
72	268	3409
73	270	3383
74	273	3377
75	277	3372
76	280	3367
77	283	3354
78	287	3347
79	291	3351
80	298	3386
81	302	3390
82	306	3385
83	310	3381
84	313	3377
85	318	3387
86	321	3369
87	322	3344
88	326	3341
89	330	3340
90	334	3341
91	338	3340
92	342	3335
93	345	3332
94	348	3324
95	350	3302
96	352	3280
97	355	3274
98	357	3257
99	361	3252
100	363	3236
101	367	3234
102	371	3232
103	375	3231
104	378	3229
105	382	3226
106	386	3224
107	390	3221
108	393	3217
109	397	3214
110	399	3202
111	403	3198
112	407	3201
113	411	3196
114	413	3185
115	418	3187
116	422	3185
117	425	3183
118	429	3181
119	433	3179
120	437	3177
121	439	3160
122	440	3143
123	442	3126
124	444	3111
125	446	3095
126	447	3079
127	450	3066
128	453	3060
129	455	3045
130	456	3030
131	458	3014
132	460	3000
133	462	2990
134	466	2988
135	469	2984
136	473	2983
137	477	2981
138	480	2978
139	484	2976
140	488	2975
141	492	2974
142	495	2967
143	496	2954
144	500	2952
145	505	2954
146	508	2953
147	512	2951
148	516	2951
149	520	2950
150	524	2948
151	527	2943
152	529	2930
153	532	2927
154	534	2915
155	536	2902
156	538	2890
157	541	2885
158	545	2885
159	549	2884
160	553	2882
161	556	2881
162	561	2883
163	565	2882
164	567	2873
165	569	2861
166	571	2849
167	574	2845
168	578	2843
169	581	2838
170	583	2828
171	585	2819
172	588	2811
173	591	2809
174	595	2809
175	599	2807
176	603	2806
177	607	2803
178	611	2802
179	615	2804
180	619	2805
181	624	2805
182	629	2809
183	633	2807
184	636	2805
185	638	2795
186	640	2785
187	642	2775
188	644	2765
189	648	2764
190	652	2762
191	656	2761
192	660	2761
193	664	2760
194	668	2758
195	672	2757
196	676	2757
197	680	2755
198	683	2752
199	686	2746
200	689	2742
201	691	2732
202	693	2722
203	695	2712
204	696	2702
205	698	2692
206	700	2682
207	701	2672
208	707	2676
209	710	2674
210	714	2673
211	718	2671
212	722	2669
213	726	2667
214	728	2658
215	729	2649
216	731	2640
217	733	2632
218	735	2623
219	737	2613
220	740	2610
221	744	2607
222	747	2605
223	750	2601
224	752	2592
225	754	2583
226	756	2576
227	758	2567
228	760	2559
229	763	2557
230	767	2554
231	770	2549
232	773	2546
233	777	2545
234	780	2539
235	783	2537
236	786	2533
237	790	2530
238	792	2522
239	794	2514
240	796	2507
241	798	2502
242	802	2499
243	806	2497
244	808	2490
245	809	2482
246	811	2474
247	813	2466
248	815	2458
249	816	2450
250	819	2444
251	821	2437
252	822	2429
253	824	2421
254	826	2414
255	828	2406
256	829	2399
257	831	2392
258	834	2386
259	836	2379
260	838	2372
261	841	2369
262	844	2366
263	848	2364
264	851	2361
265	854	2358
266	857	2355
267	861	2352
268	864	2348
269	866	2342
270	868	2335
271	869	2328
272	871	2321
273	874	2317
274	879	2317
275	882	2316
276	886	2315
277	891	2315
278	897	2318
279	900	2316
280	906	2318
281	909	2316
282	916	2322
283	920	2320
284	925	2321
285	928	2318
286	932	2316
287	935	2313
288	939	2310
289	942	2307
290	945	2304
291	949	2302
292	953	2300
293	956	2297
294	959	2292
295	962	2289
296	966	2286
297	969	2282
298	971	2277
299	973	2270
300	974	2263
301	976	2257
302	979	2254
303	983	2251
304	985	2246
305	987	2240
306	991	2238
307	995	2236
308	999	2235
309	1003	2234
310	1007	2232
311	1011	2230
312	1018	2234
313	1021	2231
314	1025	2230
315	1029	2229
316	1033	2227
317	1042	2234
318	1044	2229
319	1045	2222
320	1047	2216
321	1049	2210
322	1051	2203
323	1052	2196
324	1056	2193
325	1057	2187
326	1059	2180
327	1062	2176
328	1065	2173
329	1068	2169
330	1071	2165
331	1073	2159
332	1074	2152
333	1076	2146
334	1077	2139
335	1079	2133
336	1081	2126
337	1083	2122
338	1090	2125
339	1095	2126
340	1098	2123
341	1102	2121
342	1106	2119
343	1109	2115
344	1111	2111
345	1115	2108
346	1119	2105
347	1122	2103
348	1126	2100
349	1130	2098
350	1133	2096
351	1137	2093
352	1140	2091
353	1144	2088
354	1146	2082
355	1148	2076
356	1149	2070
357	1151	2064
358	1153	2059
359	1154	2053
360	1157	2049
361	1161	2047
362	1165	2044
363	1168	2042
364	1172	2039
365	1176	2037
366	1179	2034
367	1183	2032
368	1186	2028
369	1188	2024
370	1192	2021
371	1194	2016
372	1197	2013
373	1201	2010
374	1204	2007
375	1208	2005
376	1211	2002
377	1215	1999
378	1219	1997
379	1223	1995
380	1226	1992
381	1229	1988
382	1232	1985
383	1236	1982
384	1238	1977
385	1240	1972
386	1242	1967
387	1243	1961
388	1246	1957
389	1250	1955
390	1253	1952
391	1256	1948
392	1259	1945
393	1263	1943
394	1265	1937
395	1268	1935
396	1272	1932
397	1275	1929
398	1278	1926
399	1282	1923
400	1285	1920
401	1288	1916
402	1292	1914
403	1295	1911
404	1298	1908
405	1302	1905
406	1305	1902
407	1309	1899
408	1312	1896
409	1315	1893
410	1319	1890
411	1324	1889
412	1327	1886
413	1330	1883
414	1334	1880
415	1337	1877
416	1340	1874
417	1343	1871
418	1347	1868
419	1350	1864
420	1353	1861
421	1361	1864
422	1369	1868
423	1376	1870
424	1382	1870
425	1387	1869
426	1391	1867
427	1395	1864
428	1419	1889
429	1424	1887
430	1428	1885
431	1432	1882
432	1435	1880
433	1439	1877
434	1445	1876
435	1450	1876
436	1455	1874
437	1459	1872
438	1463	1869
439	1467	1868
440	1471	1865
441	1475	1862
442	1479	1860
443	1483	1858
444	1487	1854
445	1490	1851
446	1493	1847
447	1495	1842
448	1497	1837
449	1502	1835
450	1506	1833
451	1510	1831
452	1515	1829
453	1528	1837
454	1533	1836
455	1536	1833
456	1540	1830
457	1544	1827
458	1549	1825
459	1554	1824
460	1563	1828
461	1570	1828
462	1576	1828
463	1581	1827
464	1586	1824
465	1589	1820
466	1592	1817
467	1595	1814
468	1599	1811
469	1603	1807
470	1608	1806
471	1612	1803
472	1622	1808
473	1645	1826
474	1655	1829
475	1667	1835
476	1675	1836
477	1685	1840
478	1687	1835
479	1691	1832
480	1695	1829
481	1699	1826
482	1702	1822
483	1707	1819
484	1712	1818
485	1716	1814
486	1719	1811
487	1722	1807
488	1726	1804
489	1730	1801
490	1733	1797
491	1737	1793
492	1740	1790
493	1744	1786
494	1747	1783
495	1751	1779
496	1754	1775
497	1759	1773
498	1763	1770
499	1768	1768
500	1773	1766
501	1776	1762
502	1780	1759
503	1783	1755
504	1786	1751
505	1790	1747
506	1793	1744
507	1797	1740
508	1800	1737
509	1804	1733
510	1808	1730
511	1811	1726
512	1813	1721
513	1815	1716
514	1817	1711
515	1820	1707
516	1832	1712
517	1841	1713
518	1847	1712
519	1851	1708
520	1856	1706
521	1860	1703
522	1863	1699
523	1866	1695
524	1867	1690
525	1871	1686
526	1874	1682
