단지코드,지역,단지명,도로명주소,전용면적,임대료,임대보증금
C1859,대전광역시,대전판암4,대전광역시 동구 동부로 56-7,38.0,447189.67450271244,19579475.92676311
C1859,대전광역시,대전판암4,대전광역시 동구 동부로 56-7,31.84,104346.13019891409,24304672.129294794
C1859,대전광역시,대전판암4,대전광역시 동구 동부로 56-7,37.26,406003.92405063263,20147113.1329114
C1859,대전광역시,대전판암4,대전광역시 동구 동부로 56-7,37.41,356100.0,22625000.0
C1859,대전광역시,대전판암4,대전광역시 동구 동부로 56-7,37.49,479590.0,17265000.0
C1859,대전광역시,대전판암4,대전광역시 동구 동부로 56-7,37.95,444406.8535262204,19617829.792043395
C1859,대전광역시,대전판암4,대전광역시 동구 동부로 56-7,38.04,449415.93128390587,19548792.834538877
C1859,대전광역시,대전판암4,대전광역시 동구 동부로 56-7,39.33,518680.0,18672000.0
C1859,대전광역시,대전판암4,대전광역시 동구 동부로 56-7,54.51,1366077.1609403274,6915029.611211471
C1859,대전광역시,대전판암4,대전광역시 동구 동부로 56-7,54.6,1371086.238698013,6845992.6537069455
C1859,대전광역시,대전판암4,대전광역시 동구 동부로 56-7,54.61,1371642.802893311,6838321.880650893
C1859,대전광역시,대전판암4,대전광역시 동구 동부로 56-7,75.98,894143.9860188445,39148646.86619634
C1859,대전광역시,대전판암4,대전광역시 동구 동부로 56-7,126.65,218930.0,7881000.0
C1859,대전광역시,대전판암4,대전광역시 동구 동부로 56-7,583.4,6865538.318549537,300596480.41246307
C1722,강원도,동해천곡 주공5차,강원도 동해시 동굴로 15,32.1,125400.00000000001,4958000.0
C1722,강원도,동해천곡 주공5차,강원도 동해시 동굴로 15,72.16,285640.0,11201834.482758619
C2190,경상남도,중리주공1단지아파트,경상남도 창원시 마산회원구 내서읍 상곡로 49,16.0,102500.0,4680000.0
C2190,경상남도,중리주공1단지아파트,경상남도 창원시 마산회원구 내서읍 상곡로 49,14.17,90100.0,3940000.0
C2190,경상남도,중리주공1단지아파트,경상남도 창원시 마산회원구 내서읍 상곡로 49,18.9,126600.0,5530000.0
C2190,경상남도,중리주공1단지아파트,경상남도 창원시 마산회원구 내서읍 상곡로 49,20.52,179772.83757835545,7461416.238986071
C2190,경상남도,중리주공1단지아파트,경상남도 창원시 마산회원구 내서읍 상곡로 49,22.97,336000.0,14790000.0
C2190,경상남도,중리주공1단지아파트,경상남도 창원시 마산회원구 내서읍 상곡로 49,23.4,314300.0,13170000.0
