iter	Passed	Remaining
0	4	4906
1	10	5422
2	16	5531
3	22	5492
4	28	5619
5	34	5650
6	40	5734
7	46	5773
8	52	5767
9	58	5783
10	64	5763
11	69	5753
12	75	5752
13	81	5726
14	87	5728
15	92	5701
16	97	5666
17	103	5641
18	108	5610
19	113	5580
20	119	5558
21	124	5535
22	130	5525
23	135	5502
24	140	5484
25	146	5473
26	151	5459
27	156	5438
28	164	5510
29	170	5523
30	176	5529
31	182	5528
32	188	5522
33	194	5530
34	200	5535
35	206	5528
36	212	5520
37	217	5509
38	223	5508
39	229	5508
40	236	5520
41	243	5546
42	254	5653
43	262	5698
44	268	5708
45	274	5700
46	281	5717
47	288	5719
48	294	5718
49	300	5706
50	307	5717
51	313	5719
52	319	5716
53	327	5733
54	333	5738
55	340	5745
56	347	5742
57	352	5731
58	358	5721
59	364	5709
60	370	5699
61	375	5674
62	379	5646
63	384	5622
64	389	5597
65	393	5571
66	398	5546
67	402	5521
68	407	5496
69	411	5472
70	416	5445
71	420	5424
72	425	5401
73	430	5385
74	434	5360
75	438	5336
76	443	5318
77	448	5297
78	452	5279
79	457	5258
80	461	5240
81	466	5220
82	470	5203
83	475	5186
84	480	5168
85	484	5148
86	489	5134
87	494	5120
88	498	5102
89	502	5085
90	507	5071
91	512	5054
92	516	5039
93	521	5026
94	526	5012
95	530	4999
96	535	4984
97	539	4969
98	544	4956
99	549	4944
100	554	4933
101	559	4924
102	564	4915
103	569	4904
104	574	4900
105	579	4885
106	583	4871
107	588	4863
108	593	4855
109	598	4841
110	604	4838
111	608	4824
112	612	4811
113	619	4812
114	623	4800
115	628	4786
116	633	4782
117	638	4771
118	642	4757
119	647	4746
120	652	4739
121	656	4727
122	660	4711
123	666	4711
124	672	4704
125	676	4693
126	682	4692
127	686	4678
128	691	4667
129	697	4666
130	701	4653
131	705	4641
132	710	4633
133	715	4621
134	719	4608
135	723	4598
136	729	4594
137	733	4582
138	738	4571
139	743	4564
140	747	4552
141	751	4541
