iter	Passed	Remaining
0	3	3241
1	6	3087
2	8	2748
3	11	2764
4	13	2637
5	15	2544
6	17	2468
7	19	2404
8	22	2497
9	26	2610
10	30	2745
11	33	2788
12	38	2893
13	42	2986
14	45	3012
15	49	3044
16	53	3114
17	58	3202
18	62	3231
19	66	3254
20	70	3294
21	74	3303
22	78	3339
23	82	3339
24	85	3339
25	89	3346
26	93	3361
27	99	3447
28	103	3449
29	107	3463
30	110	3463
31	114	3473
32	118	3479
33	126	3585
34	131	3612
35	137	3680
36	144	3755
37	148	3768
38	153	3772
39	156	3763
40	160	3760
41	165	3765
42	168	3752
43	173	3780
44	178	3791
45	185	3839
46	192	3899
47	198	3929
48	201	3918
49	204	3888
50	209	3894
51	213	3899
52	219	3915
53	232	4065
54	235	4046
55	238	4027
56	242	4007
57	245	3994
58	249	3976
59	252	3963
60	256	3949
61	260	3936
62	264	3936
63	270	3951
64	276	3979
65	281	3979
66	285	3971
67	287	3944
68	291	3936
69	294	3913
70	298	3907
71	300	3876
72	304	3863
73	307	3851
74	311	3837
75	314	3825
76	319	3824
77	323	3820
78	326	3810
79	331	3807
80	335	3810
81	339	3804
82	343	3791
83	346	3783
84	351	3786
85	356	3785
86	360	3785
87	365	3788
88	370	3792
89	373	3778
90	377	3769
91	381	3761
92	385	3762
93	389	3751
94	393	3746
95	397	3745
96	399	3720
97	401	3693
98	404	3684
99	407	3665
100	410	3656
101	414	3646
102	417	3638
103	422	3637
104	425	3629
105	430	3631
106	434	3624
107	438	3625
108	440	3604
109	444	3595
110	446	3572
111	449	3563
112	452	3550
113	453	3528
114	457	3524
115	463	3533
116	470	3550
117	474	3549
118	479	3548
119	481	3532
120	485	3530
121	489	3525
122	494	3523
123	496	3505
124	497	3484
125	499	3464
126	501	3447
127	505	3442
128	509	3436
129	512	3426
130	513	3407
131	515	3388
132	517	3370
133	519	3356
134	521	3339
135	525	3340
136	530	3340
137	535	3342
138	539	3339
139	541	3326
140	545	3321
141	546	3304
142	550	3300
143	552	3285
144	556	3280
145	560	3275
146	564	3275
147	569	3276
148	572	3272
149	577	3271
150	582	3273
151	584	3263
152	586	3247
153	590	3243
154	592	3228
155	595	3222
156	599	3216
157	602	3210
158	606	3210
159	611	3210
160	615	3209
161	620	3209
162	624	3204
163	627	3199
164	630	3189
165	631	3174
166	635	3170
167	637	3156
168	641	3152
169	642	3138
170	644	3124
171	646	3110
172	659	3152
173	662	3144
174	664	3131
175	666	3119
176	668	3107
177	672	3106
178	676	3100
179	679	3094
180	682	3089
181	686	3084
182	689	3077
183	691	3065
184	695	3061
185	699	3060
186	704	3062
187	708	3058
188	716	3072
189	722	3080
190	726	3077
191	730	3073
192	734	3071
193	739	3073
194	742	3065
195	746	3063
196	748	3051
197	751	3045
198	755	3041
199	759	3038
200	763	3036
201	767	3030
202	770	3025
203	775	3025
204	778	3017
205	781	3011
206	784	3006
207	786	2994
208	791	2996
209	794	2989
210	798	2985
211	800	2974
212	804	2971
213	806	2961
214	808	2951
215	811	2946
216	815	2941
217	819	2941
218	821	2930
219	825	2925
220	829	2924
221	834	2923
222	835	2912
223	837	2901
224	839	2890
225	843	2887
226	847	2884
227	849	2877
228	851	2866
229	853	2855
230	854	2845
231	858	2841
232	860	2831
233	864	2829
234	866	2819
235	868	2813
236	872	2810
237	877	2808
238	879	2801
239	881	2791
240	883	2782
241	886	2778
242	888	2769
243	893	2768
244	895	2758
245	896	2749
246	900	2745
247	902	2735
248	905	2732
249	907	2723
250	910	2715
251	914	2715
252	918	2711
253	921	2707
254	925	2704
255	930	2704
256	934	2701
257	940	2703
258	944	2701
259	949	2701
260	953	2698
261	956	2692
262	957	2683
263	961	2680
264	965	2677
265	967	2670
266	970	2663
267	974	2660
268	979	2662
269	983	2660
270	987	2657
271	992	2656
272	998	2658
273	1002	2654
274	1005	2651
275	1008	2645
276	1012	2643
277	1016	2639
278	1020	2637
279	1027	2642
280	1031	2640
281	1036	2640
282	1040	2637
283	1044	2634
284	1048	2630
285	1054	2633
286	1058	2630
287	1062	2627
288	1067	2625
289	1071	2622
290	1075	2620
291	1079	2618
292	1081	2610
293	1085	2607
294	1089	2603
295	1092	2599
296	1095	2592
297	1104	2601
298	1108	2597
299	1112	2594
300	1117	2593
301	1120	2590
302	1124	2587
303	1126	2578
304	1129	2574
305	1132	2569
306	1137	2567
307	1143	2569
308	1147	2567
309	1151	2563
310	1157	2564
311	1159	2556
312	1163	2553
313	1167	2549
314	1172	2549
315	1176	2545
316	1179	2542
317	1185	2541
318	1189	2538
319	1193	2536
320	1198	2535
321	1204	2536
322	1207	2529
323	1210	2526
324	1213	2519
325	1216	2516
326	1221	2514
327	1226	2512
328	1232	2513
329	1236	2510
330	1241	2508
331	1243	2501
332	1245	2494
333	1255	2503
334	1258	2498
335	1260	2491
336	1262	2483
337	1267	2481
338	1268	2474
339	1270	2466
340	1272	2458
