code,num
C1072,866.56
C1128,1213.68
C1456,866.61
C1840,939.76
C1332,1271.1
C1563,1333.4
C1794,785.62
C1640,930.8
C1377,395.7
C2072,317.45
C1472,482.34
C1006,478.68
C1083,1018.82
C1311,309.47
C2676,493.41
C2318,299.97
C1603,544.43
C2523,331.97
C2177,179.43
C2411,1047.83
C2033,240.15
C1604,451.97
C2535,998.42
C1040,876.73
C2417,938.69
C1812,146.91
C2253,103.61
C1294,638.63
C1772,942.41
C2646,970.99
C1152,1062.63
C2423,175.73
C1844,509.77
C1318,300.36
C1729,105.98
C1602,301.11
C1239,1004.58
C1721,928.21
C1902,1025.23
C1855,275.24
C2600,916.26
C1071,479.16
C2295,421.99
C1621,1015.5
C1852,1162.01
C2555,1348.01
C1297,1044.22
C2323,935.36
C2215,363.27
C2112,889.22
C1830,1039.16
C2602,278.85
C2608,1189.26
C1215,718.04
C2369,523.93
C1158,332.5
C1887,787.66
C1189,905.51
C1637,972.03
C1225,128.71
C2374,933.4
C2397,1046.96
C1105,1176.92
C1782,373.3
C1629,135.62
C1708,1087.27
C2144,550.51
C1617,1199.65
C1149,907.41
C1323,815.77
C1064,685.54
C1019,312.12
C2269,976.52
C1416,1184.96
C1250,1201.14
C1741,1157.51
C1016,1014.89
C2675,
C2436,1030.6
C2039,1162.71
C1253,1126.41
C2028,1199.09
C1166,306.89
C1135,915.72
C1216,304.22
C1593,306.85
C1826,306.96
C1827,415.98
C1564,316.08
C1495,1197.56
C2653,1093.28
C1392,569.05
C2128,315.83
C1282,819.98
C1521,1090.19
C2076,703.57
C1060,900.72
C2473,1113.05
C2557,1030.01
C1835,1011.47
C2224,1136.33
C2222,379.55
C2430,1015.82
C2497,1107.35
C1494,1140.03
C1457,861.21
C1525,1140.41
C1712,889.57
C2267,1048.61
C1623,298.06
C2131,1093.83
C2691,1040.67
C1147,1337.3
C1692,1011.73
C1570,632.82
C1474,143.65
C1633,876.43
C2113,595.0
C2175,1205.27
C2303,1287.74
C2547,943.1
C2292,1099.61
C1496,1111.0
C1289,864.88
C1849,634.43
C1003,304.28
C2268,513.05
C2551,990.48
C2688,106.92
C1030,65.38
C1327,
C2451,1217.91
C1749,513.77
C1349,271.44
C2043,293.96
C1229,309.88
C2363,718.12
C1414,531.99
C2174,554.29
C2091,132.24
C2335,
C1841,78.55
C2404,94.09
C1683,283.29
C1038,343.29
C2456,266.2
C1266,861.88
C2152,77.19
C1267,483.91
C2189,279.87
