단지코드,총세대수,임대건물구분,지역,공급유형,전용면적,전용면적별세대수,공가수,자격유형,임대보증금,임대료,지하철역,버스정류장,단지내주차면수,등록차량수,단지명,도로명주소,연면적,위도,경도,subway_name,subway_dist,환승역 수,총인구수,세대당_인구,남/여비율,남/여_0~19세,남/여_20~39세,남/여_40~69세,남/여_70세이상,0~19세_비율,20~39세_비율,40~69세_비율,70세이상_비율
C2515,545,아파트,경상남도,국민임대,33.48,276,17.0,A,9216000.0,82940.0,0.0,3.0,624.0,205.0,미수휴먼시아,경상남도 통영시 미우지해안로 107,1213.87,128.39650457033545,34.8242265414328,다대포해수욕장역,0.6117387352267986,1,11129.0,2.3,0.97,1.7612403100775194,1.0365974282888228,0.9839535677705702,0.5888399412628488,0.1956150597537964,0.1850121304699434,0.5221493395633031,0.09722347021295714
C2515,545,아파트,경상남도,국민임대,39.6,60,17.0,A,12672000.0,107130.0,0.0,3.0,624.0,205.0,미수휴먼시아,경상남도 통영시 미우지해안로 107,1213.87,128.39650457033545,34.8242265414328,다대포해수욕장역,0.6117387352267986,1,11129.0,2.3,0.97,1.7612403100775194,1.0365974282888228,0.9839535677705702,0.5888399412628488,0.1956150597537964,0.1850121304699434,0.5221493395633031,0.09722347021295714
C2515,545,아파트,경상남도,국민임대,39.6,20,17.0,A,12672000.0,107130.0,0.0,3.0,624.0,205.0,미수휴먼시아,경상남도 통영시 미우지해안로 107,1213.87,128.39650457033545,34.8242265414328,다대포해수욕장역,0.6117387352267986,1,11129.0,2.3,0.97,1.7612403100775194,1.0365974282888228,0.9839535677705702,0.5888399412628488,0.1956150597537964,0.1850121304699434,0.5221493395633031,0.09722347021295714
C2515,545,아파트,경상남도,국민임대,46.9,38,17.0,A,18433000.0,149760.0,0.0,3.0,624.0,205.0,미수휴먼시아,경상남도 통영시 미우지해안로 107,1213.87,128.39650457033545,34.8242265414328,다대포해수욕장역,0.6117387352267986,1,11129.0,2.3,0.97,1.7612403100775194,1.0365974282888228,0.9839535677705702,0.5888399412628488,0.1956150597537964,0.1850121304699434,0.5221493395633031,0.09722347021295714
C2515,545,아파트,경상남도,국민임대,46.9,19,17.0,A,18433000.0,149760.0,0.0,3.0,624.0,205.0,미수휴먼시아,경상남도 통영시 미우지해안로 107,1213.87,128.39650457033545,34.8242265414328,다대포해수욕장역,0.6117387352267986,1,11129.0,2.3,0.97,1.7612403100775194,1.0365974282888228,0.9839535677705702,0.5888399412628488,0.1956150597537964,0.1850121304699434,0.5221493395633031,0.09722347021295714
C2515,545,아파트,경상남도,국민임대,51.97,106,17.0,A,23042000.0,190090.0,0.0,3.0,624.0,205.0,미수휴먼시아,경상남도 통영시 미우지해안로 107,1213.87,128.39650457033545,34.8242265414328,다대포해수욕장역,0.6117387352267986,1,11129.0,2.3,0.97,1.7612403100775194,1.0365974282888228,0.9839535677705702,0.5888399412628488,0.1956150597537964,0.1850121304699434,0.5221493395633031,0.09722347021295714
C2515,545,아파트,경상남도,국민임대,51.97,26,17.0,A,23042000.0,190090.0,0.0,3.0,624.0,205.0,미수휴먼시아,경상남도 통영시 미우지해안로 107,1213.87,128.39650457033545,34.8242265414328,다대포해수욕장역,0.6117387352267986,1,11129.0,2.3,0.97,1.7612403100775194,1.0365974282888228,0.9839535677705702,0.5888399412628488,0.1956150597537964,0.1850121304699434,0.5221493395633031,0.09722347021295714
C1407,1216,아파트,대전광역시,국민임대,30.95,288,13.0,A,15620000.0,127350.0,1.0,1.0,1285.0,1064.0,도안 휴먼시아 4단지,대전광역시 유성구 상대로 40,4636.41,127.337381950462,36.3465657238409,유성온천역,0.008228206461359284,1,45840.0,2.42,0.92,2.1671342685370742,0.9294207317073172,0.8715511672972225,0.6995073891625616,0.2287521815008726,0.27611256544502616,0.4424520069808028,0.052683246073298426
C1407,1216,아파트,대전광역시,국민임대,30.99,68,13.0,A,15620000.0,127350.0,1.0,1.0,1285.0,1064.0,도안 휴먼시아 4단지,대전광역시 유성구 상대로 40,4636.41,127.337381950462,36.3465657238409,유성온천역,0.008228206461359284,1,45840.0,2.42,0.92,2.1671342685370742,0.9294207317073172,0.8715511672972225,0.6995073891625616,0.2287521815008726,0.27611256544502616,0.4424520069808028,0.052683246073298426
C1407,1216,아파트,대전광역시,국민임대,30.99,34,13.0,A,15620000.0,127350.0,1.0,1.0,1285.0,1064.0,도안 휴먼시아 4단지,대전광역시 유성구 상대로 40,4636.41,127.337381950462,36.3465657238409,유성온천역,0.008228206461359284,1,45840.0,2.42,0.92,2.1671342685370742,0.9294207317073172,0.8715511672972225,0.6995073891625616,0.2287521815008726,0.27611256544502616,0.4424520069808028,0.052683246073298426
C1407,1216,아파트,대전광역시,국민임대,41.11,148,13.0,A,27637000.0,164610.0,1.0,1.0,1285.0,1064.0,도안 휴먼시아 4단지,대전광역시 유성구 상대로 40,4636.41,127.337381950462,36.3465657238409,유성온천역,0.008228206461359284,1,45840.0,2.42,0.92,2.1671342685370742,0.9294207317073172,0.8715511672972225,0.6995073891625616,0.2287521815008726,0.27611256544502616,0.4424520069808028,0.052683246073298426
C1407,1216,아파트,대전광역시,국민임대,41.39,74,13.0,A,27637000.0,164610.0,1.0,1.0,1285.0,1064.0,도안 휴먼시아 4단지,대전광역시 유성구 상대로 40,4636.41,127.337381950462,36.3465657238409,유성온천역,0.008228206461359284,1,45840.0,2.42,0.92,2.1671342685370742,0.9294207317073172,0.8715511672972225,0.6995073891625616,0.2287521815008726,0.27611256544502616,0.4424520069808028,0.052683246073298426
C1407,1216,아파트,대전광역시,국민임대,41.58,70,13.0,A,27637000.0,164610.0,1.0,1.0,1285.0,1064.0,도안 휴먼시아 4단지,대전광역시 유성구 상대로 40,4636.41,127.337381950462,36.3465657238409,유성온천역,0.008228206461359284,1,45840.0,2.42,0.92,2.1671342685370742,0.9294207317073172,0.8715511672972225,0.6995073891625616,0.2287521815008726,0.27611256544502616,0.4424520069808028,0.052683246073298426
