관리건축물대장PK,건물명,대지면적,건축면적,연면적,용적률산정연면적,용적률,세대수,가구수,도로명주소,지번주소,juso,행정동코드,시도명,시군구명,읍면동명,법정동코드,동리명,생성일자,행정기관,총인구수,세대당_인구,남자_인구수,여자_인구수,남여_비율,총연령구간인구수,총0~9세,총10~19세,총20~29세,총30~39세,총40~49세,총50~59세,총60~69세,총70~79세,총80~89세,총90~99세,총100세이상,남 인구수,남연령구간인구수,남0~9세,남10~19세,남20~29세,남30~39세,남40~49세,남50~59세,남60~69세,남70~79세,남80~89세,남90~99세,남100세 이상,여_인구수,여연령구간인구수,여0~9세,여10~19세,여20~29세,여30~39세,여40~49세,여50~59세,여60~69세,여70~79세,여80~89세,여90~99세,여100세 이상
47113-100216867,장량휴먼시아,0.0,632.955,8409.554,8394.649,0.0,149.0,0.0,경상북도 포항시 북구 장량중앙로 17,경상북도 포항시 북구 양덕동 336-1,경상북도포항시북구양덕동,4711370000,경상북도,포항시 북구,장량동,4711312200,양덕동,19950101,경상북도포항시북구장량동,73070.0,2.51,37032.0,36038.0,1.03,73070.0,7972.0,8866.0,9151.0,10019.0,13420.0,12125.0,8031.0,2466.0,880.0,137.0,3.0,37032.0,37032.0,4125.0,4651.0,5067.0,5018.0,6528.0,5974.0,4133.0,1247.0,269.0,20.0,0.0,36038.0,36038.0,3847.0,4215.0,4084.0,5001.0,6892.0,6151.0,3898.0,1219.0,611.0,117.0,3.0
48220-100186682,미수휴먼시아,0.0,661.96,1213.87,240.83,0.0,0.0,0.0,경상남도 통영시 미우지해안로 107,경상남도 통영시 미수동 695,경상남도통영시미수동,4822066500,경상남도,통영시,미수동,4822011500,미수동,20101231,경상남도통영시미수동,11129.0,2.3,5467.0,5662.0,0.97,11129.0,816.0,1361.0,1001.0,1058.0,1909.0,2012.0,1890.0,767.0,280.0,34.0,1.0,5467.0,5467.0,420.0,716.0,544.0,504.0,967.0,980.0,935.0,332.0,64.0,5.0,0.0,5662.0,5662.0,396.0,645.0,457.0,554.0,942.0,1032.0,955.0,435.0,216.0,29.0,1.0
30200-100200744,도안휴먼시아4단지,0.0,707.15,4636.41,4636.41,0.0,102.0,0.0,대전광역시 유성구 상대로 40,대전광역시 유성구 상대동 465,대전광역시유성구상대동,3020061000,대전광역시,유성구,원신흥동,3020011500,상대동,20130916,대전광역시유성구원신흥동,45840.0,2.42,21943.0,23897.0,0.92,45840.0,5309.0,5177.0,5062.0,7595.0,8716.0,6733.0,4833.0,1621.0,661.0,129.0,4.0,21943.0,21943.0,2725.0,2682.0,2515.0,3582.0,4132.0,3110.0,2203.0,757.0,221.0,16.0,0.0,23897.0,23897.0,2584.0,2495.0,2547.0,4013.0,4584.0,3623.0,2630.0,864.0,440.0,113.0,4.0
41360-100216608,휴먼시아,0.0,385.99,6017.76,5951.08,0.0,76.0,0.0,경기도 남양주시 늘을3로 8,경기도 남양주시 호평동 712,경기도남양주시호평동,4136051000,경기도,남양주시,호평동,4136010100,호평동,19950101,경기도남양주시호평동,57499.0,2.65,28020.0,29479.0,0.95,57499.0,6308.0,7201.0,6198.0,7543.0,11962.0,8405.0,5321.0,3131.0,1224.0,195.0,11.0,28020.0,28020.0,3269.0,3700.0,3197.0,3549.0,5771.0,4256.0,2404.0,1353.0,474.0,45.0,2.0,29479.0,29479.0,3039.0,3501.0,3001.0,3994.0,6191.0,4149.0,2917.0,1778.0,750.0,150.0,9.0
45140-100190554,장신휴먼시아1단지,0.0,556.18,6611.9,6611.9,0.0,84.0,0.0,전라북도 익산시 오산면 선화로4길 66,전라북도 익산시 오산면 장신리 1130,전라북도익산시오산면장신리,4514031000,전라북도,익산시,오산면,4514031022,장신리,19950510,전라북도익산시오산면,7783.0,2.0,3852.0,3931.0,0.98,7783.0,512.0,600.0,670.0,729.0,1023.0,1310.0,1483.0,870.0,497.0,87.0,2.0,3852.0,3852.0,258.0,296.0,363.0,396.0,545.0,676.0,733.0,391.0,173.0,19.0,2.0,3931.0,3931.0,254.0,304.0,307.0,333.0,478.0,634.0,750.0,479.0,324.0,68.0,0.0
45140-100187229,장신휴먼시아2단지,0.0,549.97,6749.2,6749.2,0.0,86.0,0.0,전라북도 익산시 오산면 선화로4길 24-9,전라북도 익산시 오산면 장신리 1127,전라북도익산시오산면장신리,4514031000,전라북도,익산시,오산면,4514031022,장신리,19950510,전라북도익산시오산면,7783.0,2.0,3852.0,3931.0,0.98,7783.0,512.0,600.0,670.0,729.0,1023.0,1310.0,1483.0,870.0,497.0,87.0,2.0,3852.0,3852.0,258.0,296.0,363.0,396.0,545.0,676.0,733.0,391.0,173.0,19.0,2.0,3931.0,3931.0,254.0,304.0,307.0,333.0,478.0,634.0,750.0,479.0,324.0,68.0,0.0
41135-100219035,백현마을,0.0,314.363,3320.18,0.0,0.0,0.0,0.0,경기도 성남시 분당구 동판교로 92,경기도 성남시 분당구 백현동 546,경기도성남시분당구백현동,4113561000,경기도,성남시 분당구,이매2동,4113511000,백현동,20010101,경기도성남시분당구이매2동,13473.0,3.01,6592.0,6881.0,0.96,13473.0,968.0,1802.0,1767.0,1299.0,2284.0,2412.0,1677.0,784.0,400.0,79.0,1.0,6592.0,6592.0,501.0,965.0,912.0,591.0,1005.0,1188.0,863.0,378.0,169.0,19.0,1.0,6881.0,6881.0,467.0,837.0,855.0,708.0,1279.0,1224.0,814.0,406.0,231.0,60.0,0.0
41135-100219035,백현마을,0.0,314.363,3320.18,0.0,0.0,0.0,0.0,경기도 성남시 분당구 동판교로 92,경기도 성남시 분당구 백현동 546,경기도성남시분당구백현동,4113565000,경기도,성남시 분당구,판교동,4113511000,백현동,20091224,경기도성남시분당구판교동,23981.0,2.99,11801.0,12180.0,0.97,23981.0,2906.0,3422.0,2366.0,3078.0,5251.0,3563.0,2083.0,877.0,377.0,56.0,2.0,11801.0,11801.0,1509.0,1779.0,1177.0,1353.0,2477.0,1875.0,1034.0,420.0,165.0,11.0,1.0,12180.0,12180.0,1397.0,1643.0,1189.0,1725.0,2774.0,1688.0,1049.0,457.0,212.0,45.0,1.0
41135-100219035,백현마을,0.0,314.363,3320.18,0.0,0.0,0.0,0.0,경기도 성남시 분당구 동판교로 92,경기도 성남시 분당구 백현동 546,경기도성남시분당구백현동,4113565700,경기도,성남시 분당구,백현동,4113511000,백현동,20091005,경기도성남시분당구백현동,27435.0,2.68,13233.0,14202.0,0.93,27435.0,2762.0,3060.0,3781.0,3668.0,4660.0,4803.0,2938.0,1206.0,475.0,81.0,1.0,13233.0,13233.0,1421.0,1589.0,1884.0,1691.0,2197.0,2282.0,1426.0,566.0,155.0,22.0,0.0,14202.0,14202.0,1341.0,1471.0,1897.0,1977.0,2463.0,2521.0,1512.0,640.0,320.0,59.0,1.0
30200-100216666,노은4단지,0.0,509.89,4595.19,4595.19,0.0,69.0,0.0,대전광역시 유성구 지족로148번길 40,대전광역시 유성구 지족동 1051,대전광역시유성구지족동,3020054600,대전광역시,유성구,노은1동,3020012000,지족동,20070205,대전광역시유성구노은1동,22090.0,2.51,10951.0,11139.0,0.98,22090.0,2203.0,3005.0,2867.0,3156.0,4290.0,3288.0,1895.0,890.0,424.0,71.0,1.0,10951.0,10951.0,1152.0,1533.0,1482.0,1580.0,2023.0,1698.0,903.0,412.0,154.0,13.0,1.0,11139.0,11139.0,1051.0,1472.0,1385.0,1576.0,2267.0,1590.0,992.0,478.0,270.0,58.0,0.0
30200-100216666,노은4단지,0.0,509.89,4595.19,4595.19,0.0,69.0,0.0,대전광역시 유성구 지족로148번길 40,대전광역시 유성구 지족동 1051,대전광역시유성구지족동,3020054700,대전광역시,유성구,노은2동,3020012000,지족동,20070205,대전광역시유성구노은2동,24757.0,2.62,12171.0,12586.0,0.97,24757.0,2352.0,3422.0,3137.0,3109.0,4657.0,4065.0,2254.0,1108.0,564.0,88.0,1.0,12171.0,12171.0,1223.0,1761.0,1613.0,1533.0,2190.0,2047.0,1093.0,484.0,209.0,18.0,0.0,12586.0,12586.0,1129.0,1661.0,1524.0,1576.0,2467.0,2018.0,1161.0,624.0,355.0,70.0,1.0
30200-100216666,노은4단지,0.0,509.89,4595.19,4595.19,0.0,69.0,0.0,대전광역시 유성구 지족로148번길 40,대전광역시 유성구 지족동 1051,대전광역시유성구지족동,3020054800,대전광역시,유성구,노은3동,3020012000,지족동,20150720,대전광역시유성구노은3동,37657.0,2.67,18494.0,19163.0,0.97,37657.0,4863.0,4582.0,3799.0,6060.0,7432.0,5276.0,3612.0,1379.0,554.0,96.0,4.0,18494.0,18494.0,2465.0,2325.0,2004.0,2900.0,3600.0,2581.0,1721.0,675.0,205.0,18.0,0.0,19163.0,19163.0,2398.0,2257.0,1795.0,3160.0,3832.0,2695.0,1891.0,704.0,349.0,78.0,4.0
42730-100185047,횡성읍하 엘에이치아파트,0.0,265.45799999999997,2768.614,2768.614,0.0,39.0,0.0,강원도 횡성군 횡성읍 앞들서2로 34,강원도 횡성군 횡성읍 읍하리 172,강원도횡성군횡성읍읍하리,4273025000,강원도,횡성군,횡성읍,4273025022,읍하리,19880423,강원도횡성군횡성읍,20964.0,2.2,10576.0,10388.0,1.02,20964.0,1443.0,1991.0,2293.0,2028.0,2935.0,3678.0,3482.0,1781.0,1117.0,205.0,11.0,10576.0,10576.0,756.0,1022.0,1267.0,1016.0,1593.0,1926.0,1758.0,784.0,404.0,49.0,1.0,10388.0,10388.0,687.0,969.0,1026.0,1012.0,1342.0,1752.0,1724.0,997.0,713.0,156.0,10.0
29155-100194096,광주백운3휴먼시아,0.0,340.66,913.34,913.34,0.0,0.0,0.0,광주광역시 남구 백운로 100,광주광역시 남구 백운동 686,광주광역시남구백운동,2915567000,광주광역시,남구,백운1동,2915510500,백운동,19950301,광주광역시남구백운1동,12317.0,2.38,5829.0,6488.0,0.9,12317.0,952.0,1125.0,1493.0,1422.0,1872.0,1885.0,1876.0,1128.0,476.0,86.0,2.0,5829.0,5829.0,488.0,546.0,764.0,702.0,918.0,883.0,828.0,478.0,198.0,24.0,0.0,6488.0,6488.0,464.0,579.0,729.0,720.0,954.0,1002.0,1048.0,650.0,278.0,62.0,2.0
29155-100194096,광주백운3휴먼시아,0.0,340.66,913.34,913.34,0.0,0.0,0.0,광주광역시 남구 백운로 100,광주광역시 남구 백운동 686,광주광역시남구백운동,2915568000,광주광역시,남구,백운2동,2915510500,백운동,19950301,광주광역시남구백운2동,6440.0,1.93,3171.0,3269.0,0.97,6440.0,470.0,429.0,984.0,906.0,886.0,938.0,910.0,631.0,254.0,31.0,1.0,3171.0,3171.0,251.0,209.0,446.0,473.0,492.0,472.0,419.0,296.0,108.0,5.0,0.0,3269.0,3269.0,219.0,220.0,538.0,433.0,394.0,466.0,491.0,335.0,146.0,26.0,1.0
29155-100194096,광주백운3휴먼시아,0.0,340.66,913.34,913.34,0.0,0.0,0.0,광주광역시 남구 백운로 100,광주광역시 남구 백운동 686,광주광역시남구백운동,2915570000,광주광역시,남구,주월2동,2915510500,백운동,19950301,광주광역시남구주월2동,8192.0,2.03,4070.0,4122.0,0.99,8192.0,479.0,571.0,1098.0,894.0,1102.0,1392.0,1416.0,887.0,313.0,39.0,1.0,4070.0,4070.0,233.0,287.0,607.0,484.0,565.0,655.0,673.0,420.0,134.0,12.0,0.0,4122.0,4122.0,246.0,284.0,491.0,410.0,537.0,737.0,743.0,467.0,179.0,27.0,1.0
