지번주소;도로명주소;건물명;폐지여부
경상북도 포항시 북구 양덕동 336-1;경상북도 포항시 북구 장량중앙로 17;장량휴먼시아;존재
경상남도 통영시 미수동 695;경상남도 통영시 미우지해안로 107;미수휴먼시아;존재
대전광역시 유성구 상대동 465;대전광역시 유성구 상대로 40;도안휴먼시아4단지;존재
경기도 남양주시 호평동 712;경기도 남양주시 늘을3로 8;주공Humansia;존재
전라북도 익산시 오산면 장신리 1130;전라북도 익산시 오산면 선화로4길 66;장신휴먼시아1단지;존재
전라북도 익산시 오산면 장신리 1127;전라북도 익산시 오산면 선화로4길 24-9;장신휴먼시아2단지;존재
경기도 성남시 분당구 백현동 546;경기도 성남시 분당구 동판교로 92;백현마을3단지;존재
대전광역시 유성구 지족동 1051;대전광역시 유성구 지족로148번길 40;노은4단지;존재
강원도 횡성군 횡성읍 읍하리 172;강원도 횡성군 횡성읍 앞들서2로 34;횡성읍하 엘에이치아파트;존재
광주광역시 남구 백운동 686;광주광역시 남구 백운로 100;광주백운3휴먼시아;존재
광주광역시 남구 백운동 693;광주광역시 남구 독립로80번길 8;광주백운2휴먼시아;존재
강원도 강릉시 교동 1748;강원도 강릉시 가작로 85;강릉교동(2)주공아파트;존재
강원도 강릉시 포남동 1293-4;강원도 강릉시 하평길 55;송정주공아파트;존재
강원도 강릉시 입암동 49-9;강원도 강릉시 강변로 510;입암3주공아파트;존재
경상남도 거제시 장평동 144;경상남도 거제시 장평2로 36;장평3주공아파트;존재
충청남도 당진시 석문면 통정리 1733;충청남도 당진시 석문면 해명1로 200;LH 천년나무 2단지아파트;존재
충청남도 공주시 옥룡동 123;충청남도 공주시 우금티로 709-12;;존재
부산광역시 기장군 기장읍 교리 170;부산광역시 기장군 기장읍 차성로397번길 7;기장교리주공아파트;존재
경상남도 김해시 구산동 321;경상남도 김해시 가락로 222;구산제1주공아파트;존재
경상남도 김해시 삼문동 61-3;경상남도 김해시 능동로 76;젤미마을 주공2단지;존재
대전광역시 서구 관저동 1148;대전광역시 서구 관저로 84;구봉마을 8단지;존재
대전광역시 서구 관저동 1394;대전광역시 서구 관저동로 42;느리울마을아파트13단지;존재
대전광역시 서구 월평동 218-7;대전광역시 서구 월평북로 13;은뜰마을;존재
대전광역시 중구 문화동 779;대전광역시 중구 보문산로161번길 55;주공1차아파트;존재
