단지코드,단지명
C2483,포항장량휴먼시아1단지
C2515,미수휴먼시아
C1407,도안 휴먼시아 4단지
C1945,호평마을 주공휴먼시아
C1470,장신휴먼시아1단지
C1898,장신휴먼시아2단지
C1244,백현마을 3단지
C1171,LH대전노은3지구4단지
C2073,횡성휴먼시아
C2513,광주백운 휴먼시아3단지
C1936,광주백운 휴먼시아2단지
C2049,강릉교동 주공2차아파트
C2202,강릉송정주공아파트
C2576,거제장평 주공3단지아파트
C1312,석문국가산단 2단지
C2650,기장교리 주공아파트
C2100,느리울마을아파트 13단지
C1032,천동휴먼시아1단지
C1077,밀양삼문휴먼시아아파트
C1497,부산금곡 주공7단지
C1672,부산만덕3
C1613,율리마을 주공아파트
C2216,부여쌍북2단지
C2481,울산교동주공아파트
C1718,화봉휴먼시아2단지
C1655,원주문막주공아파트
C1430,정관신도시휴먼시아1단지
C1519,제주으뜸마을
C2221,제주화북 주공3단지
C1866,창녕주공아파트
C1005,백석주공그린빌3차
C2401,철암주공아파트
C1175,공주월송 A3BL
C1175,홍성남장2 주공아파트
C1833,제주삼화 휴먼시아1단지
C2445,강저휴먼시아3단지
C1885,여수죽림휴먼시아1단지
C2368,여수죽림휴먼시아2차
C2016,음성맹동휴먼시아
C2371,고령다산휴먼시아 3단지
C2536,순창풍산 휴먼시아
C2538,부천범박 휴먼시아1단지
C1014,남원금동2 휴먼시아
C1592,원주무실 주공8단지
C1867,사천용현휴먼시아아파트
C2326,진천벽암 휴먼시아
C1015,부산지사휴먼시아
C1620,첨단휴먼시아1단지
C1049,첨단휴먼시아2단지
C2000,양산금산휴먼시아
C2097,구미옥계 휴먼시아2단지
C1668,무안성내휴먼시아
C1689,광교마을 41단지
C1234,원주개운LH2단지아파트
C1234,강릉회산주공아파트
C2514,거창소만 주공아파트
C1368,경산사동 휴먼시아 1단지
C1057,경산사동 휴먼시아 2단지
C2336,경산진량휴먼시아
C1026,고령다산주공1차아파트
C2256,고성동외 주공아파트
C1900,고창읍내 휴먼시아
C2666,고촌휴먼시아1단지
C2361,광명소하 휴먼시아6단지
C1642,마동주공아파트
C1013,동천마을6단지
C2232,송화마을 휴먼시아1단지
C2232,장자울마을 휴먼시아5단지
C1973,광주송화마을휴먼시아2단지
C2458,송화마을 휴먼시아3단지
C2574,아름마을 휴먼시아2단지
C2133,송화마을 휴먼시아1단지
C2133,장자울마을 휴먼시아5단지
C2096,신용주공아파트
C2010,광주연제
C1879,광주용두2
C1131,용봉주공아파트
C1468,죽림마을
C1213,삼학주공
C1173,상리 주공 2단지 아파트
C2492,김천덕곡주공아파트
C2032,율곡마을 주공2단지 아파트
C2094,김해 월산마을 주공14단지아파트
C1880,김해월산마을 주공11단지
C2089,진영휴먼시아아파트
C1744,풍동 숲속마을 주공4단지
C1744,남양주장현 휴먼시아3단지
C1744,삼미마을 16단지
C1744,의왕내손주공아파트
C2046,남양주 진접 휴먼시아16단지
C2071,남양주 진접 휴먼시아17단지
C2635,남양주 퇴계원 주공3단지
C2635,휴먼시아 새뜰마을4단지
C2635,산내들마을 휴먼시아4단지
C2390,남양주 퇴계원 주공4단지
C2561,남양주호평 주공20단지
C1663,반석마을 8단지
C2490,달성용계주공아파트
C2066,대구서재휴먼시아
C1585,장기주공아파트
C2276,대전낭월 석천들마을
C1155,새들뫼 휴먼시아 2단지
C1693,봉산 휴먼시아 2단지
C1889,송내주공3단지
C2518,동해묵호주공아파트
C1962,동해천곡6차아파트
C1666,목포옥암주공1차아파트
C1988,목포 포미타운 주공3단지아파트
C1537,보령죽정주공
C1329,내리휴먼시아1단지
C1762,부안서외 주공아파트
