단지코드,지역,단지명,도로명주소,전용면적,임대료,임대보증금
C1006,대전광역시,대전둔산1,대전광역시 서구 월평북로 11,38.0,455715.5313092662,17010432.31906987
C1006,대전광역시,대전둔산1,대전광역시 서구 월평북로 11,37.26,454898.16853921313,17011726.958313406
C1006,대전광역시,대전둔산1,대전광역시 서구 월평북로 11,37.41,599700.0,23170000.0
C1006,대전광역시,대전둔산1,대전광역시 서구 월평북로 11,37.49,455152.2137244999,17011324.570440415
C1006,대전광역시,대전둔산1,대전광역시 서구 월평북로 11,37.95,249200.0,9700000.0
C1006,대전광역시,대전둔산1,대전광역시 서구 월평북로 11,38.04,317300.0,11422000.0
C1006,대전광역시,대전둔산1,대전광역시 서구 월평북로 11,39.33,669710.0,24109000.0
C1006,대전광역시,대전둔산1,대전광역시 서구 월평북로 11,39.93,457847.30177710735,17007055.759961735
C1006,대전광역시,대전둔산1,대전광역시 서구 월평북로 11,54.51,461710.0,16621000.0
C1006,대전광역시,대전둔산1,대전광역시 서구 월평북로 11,54.6,474050.96642126766,16981390.411714926
C1006,대전광역시,대전둔산1,대전광역시 서구 월평북로 11,54.61,474062.0118641062,16981372.916590013
C1006,대전광역시,대전둔산1,대전광역시 서구 월평북로 11,75.98,497666.1232100985,16943985.834651746
C1006,대전광역시,대전둔산1,대전광역시 서구 월평북로 11,583.4,0.0,0.0
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,15.0,52100.0,680000.0
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,38.0,451609.8671344655,22893703.06151485
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,16.57,104600.0,7452000.0
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,18.38,84000.0,2016000.0
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,20.9,129200.0,9190000.0
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,21.94,125556.67326209875,5833543.12505804
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,23.35,180800.0,12873000.0
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,26.25,119000.0,2856000.0
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,28.38,129000.0,3096000.0
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,28.5,232000.0,5568000.0
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,33.15,209500.0,14904000.0
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,33.31,356392.58947186277,17911626.467368994
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,33.39,152000.0,3648000.0
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,33.51,360453.02775171783,18124081.759230223
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,37.26,436586.24549900147,22107618.481628295
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,37.41,439631.5742088929,22266959.950524215
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,37.49,441255.749520835,22351942.06726871
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,37.95,214000.0,5136000.0
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,38.04,452421.95479043655,22936194.119887095
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,39.33,1246500.0,81594000.0
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,40.39,329000.0,7896000.0
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,54.51,786799.0471365063,40431887.40465942
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,54.6,788626.2443624411,40527492.28599697
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,54.61,788829.2662764338,40538115.05059004
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,75.98,1222687.0964789544,63238962.985962525
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,404.65,1246500.0,81594000.0
C2676,부산광역시,모라주공3단지,부산광역시 사상구 모라로192번길 20-21,583.4,0.0,0.0
C2177,충청남도,읍내동 주공아파트,충청남도 아산시 외암로 1420,15.0,59708.75187957672,2399377.2501800265
C2177,충청남도,읍내동 주공아파트,충청남도 아산시 외암로 1420,16.57,64255.012550886124,2582237.63496132
C2177,충청남도,읍내동 주공아파트,충청남도 아산시 외암로 1420,18.38,70900.0,2850000.0
C2177,충청남도,읍내동 주공아파트,충청남도 아산시 외암로 1420,20.9,76793.42573991143,3086559.5878931684
C2177,충청남도,읍내동 주공아파트,충청남도 아산시 외암로 1420,21.94,79804.96147122467,3207690.0338629433
C2177,충청남도,읍내동 주공아파트,충청남도 아산시 외암로 1420,23.35,83887.90895310127,3371914.965418118
C2177,충청남도,읍내동 주공아파트,충청남도 아산시 외암로 1420,26.25,89360.0,3591000.0
C2177,충청남도,읍내동 주공아파트,충청남도 아산시 외암로 1420,28.5,98800.8022379697,3971743.616133827
C2177,충청남도,읍내동 주공아파트,충청남도 아산시 외암로 1420,33.15,112265.84180586062,4513336.475517914
C2177,충청남도,읍내동 주공아파트,충청남도 아산시 외암로 1420,33.31,112729.15499529344,4531971.928744033
C2177,충청남도,읍내동 주공아파트,충청남도 아산시 외암로 1420,33.39,112960.81159000983,4541289.655357093
C2177,충청남도,읍내동 주공아파트,충청남도 아산시 외암로 1420,33.51,114830.0,4617000.0
C2177,충청남도,읍내동 주공아파트,충청남도 아산시 외암로 1420,40.39,133230.7636276951,5356590.733999804
C2177,충청남도,읍내동 주공아파트,충청남도 아산시 외암로 1420,61.89,195488.47345772837,7860729.76125956
C2177,충청남도,읍내동 주공아파트,충청남도 아산시 외암로 1420,401.5,1201400.0,50341000.0
