단지코드,지하철역,버스정류장,등록차량수,연면적,위도,경도,총인구수,세대당_인구,공가수_비율,세대당_가능주차면수,0~19 인구수,20~39 인구수,40~69 인구수,70세이상 인구수,sub_0,sub_1,sub_dist_0,sub_dist_1,sub_dist_2,type_0,type_1,type_2,type_3,type_8,type_9,type_10,type_11,type_12,type_13,apt임대료min,apt임대료25%,apt임대료50%,apt임대료75%,apt임대료max,apt임대보증금min,apt임대보증금25%,apt임대보증금50%,apt임대보증금75%,apt임대보증금max,store임대료min,store임대료25%,store임대료50%,store임대료75%,store임대료max,store임대보증금min,store임대보증금25%,store임대보증금50%,store임대보증금75%,store임대보증금max,apt전용면적min,apt전용면적25%,apt전용면적50%,apt전용면적75%,apt전용면적max,store전용면적mean,store전용면적std
C2515,0.0,3.0,205.0,1213.87,128.39650457033545,34.8242265414328,11129.0,2.3,0.031192660550458717,1.144954128440367,106.61020756581904,100.83161110611914,284.5713900620002,52.986791266061644,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,82940.0,107130.0,149760.0,169925.0,190090.0,9216000.0,12672000.0,18433000.0,20737500.0,23042000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.48,39.6,46.9,49.435,51.97,0.0,0.0
C1407,1.0,1.0,1064.0,4636.41,127.337381950462,36.3465657238409,45840.0,2.42,0.01069078947368421,1.0567434210526316,278.1626527050611,335.75287958115183,538.0216404886562,64.06282722513089,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,127350.0,145980.0,164610.0,198250.0,253520.0,15620000.0,21628500.0,27637000.0,36048000.0,42056000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.95,36.05,41.58,46.36,51.24,0.0,0.0
C1945,1.0,3.0,730.0,6017.76,127.24077274083449,37.65839027630814,57499.0,2.65,0.007947019867549669,0.9721854304635762,177.3821283848415,180.428442233778,337.30047479086596,59.888954590514615,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,130070.0,145860.0,193230.0,231322.5,244020.0,15607000.0,17490000.0,23139000.0,27691500.0,29209000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.72,42.7725,51.93,57.892500000000005,59.88,0.0,0.0
C1470,0.0,2.0,553.0,6611.9,126.9311660050544,35.94671124015283,7783.0,2.0,0.020114942528735632,0.9267241379310345,99.44134652447643,125.10651419761018,341.24836181421045,130.20377746370298,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,102130.0,102130.0,117145.0,135165.0,144180.0,12015000.0,12015000.0,16821500.0,22529250.0,25233000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.55,36.55,41.724999999999994,48.1575,51.93,0.0,0.0
C1898,0.0,6.0,415.0,6749.2,126.931972402425,35.9485646523394,7783.0,2.0,0.015901060070671377,0.9134275618374559,80.8675318000771,101.7389181549531,277.5094436592574,105.88410638571247,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,102130.0,102130.0,117145.0,132160.0,144180.0,12015000.0,12015000.0,16821500.0,21628000.0,25233000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.55,36.567499999999995,41.76,46.9,51.93,0.0,0.0
C1244,0.0,10.0,1804.0,3320.18,127.117716491702,37.3898939851789,21629.666666666668,2.893333333333333,0.005807200929152149,0.8612078977932637,395.9413768127109,423.51397001032535,787.3978948666183,115.14675831034538,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,203030.0,203030.0,304540.0,304540.0,338380.0,29551000.0,29551000.0,43990000.0,43990000.0,49854000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.62,39.72,46.81,46.95,51.95,0.0,0.0
C1171,0.0,5.0,700.0,4595.19,127.30503109342301,36.377198918698895,28168.0,2.6,0.020833333333333332,1.016025641025641,150.83839818233454,163.39903436523716,271.5120704345357,38.25049701789265,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,118190.0,141840.0,189130.0,189130.0,236410.0,17730000.0,23641000.0,35462000.0,35462000.0,41372000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.38,39.46,46.765,46.88,51.96,0.0,0.0
C2073,0.0,5.0,301.0,2768.614,127.981035991168,37.4882886027589,20964.0,2.2,0.036011080332409975,0.7977839335180056,59.133466895630605,74.4076035107804,173.8358614768174,53.62306811677159,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,144180.0,159500.0,205460.0,205460.0,283560.0,10813000.0,12315000.0,16821000.0,16821000.0,25233000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.63,41.447500000000005,46.9,46.945,59.89,0.0,0.0
C2513,0.0,6.0,820.0,913.34,126.90695231720612,35.141552996216745,8983.0,2.1133333333333333,0.01989389920424403,0.7029177718832891,112.64254703328508,190.17173178967678,343.4954172696575,107.69030390738061,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,192250.0,192250.0,192250.0,192250.0,192250.0,32443000.0,32443000.0,32443000.0,32443000.0,32443000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.88,51.88,51.88,51.905,51.93,0.0,0.0
C1936,0.0,10.0,234.0,529.44,126.902822600905,35.1401129837952,8983.0,2.1133333333333333,0.03333333333333333,0.7,35.85439162863186,60.53211621952577,109.33541133251697,34.278080819325396,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,192250.0,192250.0,192250.0,192250.0,192250.0,32443000.0,32443000.0,32443000.0,32443000.0,32443000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.88,51.88,51.88,51.892500000000005,51.93,0.0,0.0
C2049,0.0,5.0,841.0,6374.996,128.88563180131382,37.76945080486318,17023.0,2.135,0.0,0.9171511627906976,115.42783293191565,161.13822475474356,327.95488456793754,83.47905774540328,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,78230.0,83315.0,88400.0,94330.0,100260.0,15271000.0,15339000.0,15407000.0,16547000.0,17687000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.49,51.72,51.95,55.795,59.64,0.0,0.0
C2202,0.0,2.0,226.0,849.68,128.9153581539591,37.770486437383965,11676.5,1.955,0.0,0.3563402889245586,75.95088425469962,135.1482892990194,320.3169185971824,91.58390784909861,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,145940.0,149110.0,152280.0,161755.0,171230.0,9714000.0,9979000.0,10244000.0,11025500.0,11807000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.67,40.285,42.9,46.17,49.44,0.0,0.0
C1925,0.0,4.0,75.0,6730.06,128.917042175361,37.764814393229706,28590.0,2.38,0.014975041597337771,0.194675540765391,122.70153899965024,140.71682406435818,278.55372507869885,59.027911857292764,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,130850.0,134252.5,137655.0,141057.5,144460.0,8052000.0,8332500.0,8613000.0,8893500.0,9174000.0,133000.0,133000.0,133000.0,175100.0,301400.0,5162000.0,5162000.0,5162000.0,6772500.0,11604000.0,26.37,27.6075,28.845,30.082500000000003,31.32,42.115,20.029999999999998
C2576,0.0,4.0,73.0,24.13,128.608327564331,34.886084330313395,20722.0,2.08,0.04691358024691358,0.7308641975308642,73.9366373902133,117.79437313000675,200.29147765659687,12.977511823183091,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,161780.0,180190.0,198600.0,217010.0,235420.0,19436000.0,21640000.0,23844000.0,26048000.0,28252000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.9,50.144999999999996,53.39,56.635000000000005,59.88,0.0,0.0
