단지코드,총세대수,전용면적,전용면적별세대수,공가수,지하철역,버스정류장,단지내주차면수,임대보증금,임대료,연면적,위도,경도,subway_dist,환승역 수,총인구수,세대당_인구,남/여비율,남/여_0~19세,남/여_20~39세,남/여_40~69세,남/여_70세이상,0~19세_비율,20~39세_비율,40~69세_비율,70세이상_비율,전용면적_std,전용면적별세대수_std,임대보증금_std,임대료_std,강원도,경기도,경상남도,경상북도,광주광역시,대구광역시,대전광역시,부산광역시,세종특별자치시,울산광역시,전라남도,전라북도,제주특별자치도,충청남도,충청북도,상가,아파트,공공임대(50년),공공임대(분납),국민임대,영구임대,임대상가,행복주택,"공공임대(5년,10년)",A,C,D,E,G,H,I,J,K,L,M,N
C1003,480.0,32.13625,60.0,29.0,0.0,3.0,339.0,22650000.0,115875.0,123.62,128.739696534127,35.3035151243663,0.13054194963762775,1.0,55651.0,2.33,1.0600000000000003,2.1784021665538247,1.1465919701213816,1.088124178712221,0.6799329702555508,0.2232125208891125,0.24786616592693747,0.4568651057483244,0.07205620743562559,9.75081379387675,59.12698199637793,6236986.45180507,32237.67760157138,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
C1006,1505.0,60.89407407407407,55.74074074074074,27.0,2.0,5.0,428.0,17130649.809097316,1766510.223031129,102.65000000000006,127.37063456057878,36.363538167200176,0.0063374161793539685,1.0,15925.33333333333,2.146666666666668,1.0100000000000007,1.8365019011406853,1.1530612244897964,0.9432685634975712,0.6431199411331862,0.15497320830542535,0.2826523777628935,0.46889651707970564,0.09347789685197581,105.07695744838489,140.77412147249677,15300306.457904516,7281424.739072939,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,20,7,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
C1016,643.0,48.1425,160.75,4.0,1.0,4.0,646.0,24026750.0,228010.0,6417.44,127.11300293545652,37.325071461411454,0.005541553218191841,2.0,37534.0,2.55,0.955,1.7862759113652609,0.9660249150622876,0.9344592592592592,0.7544401544401544,0.1968348697181222,0.2775083923908989,0.4348590611179198,0.0907976767730591,8.529366428209464,73.40015894624025,3687333.939763706,46722.51348832452,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C1019,321.0,44.875,80.25,7.0,0.0,3.0,259.0,14857500.0,126430.0,1659.36,126.428181797068,33.4848566614535,1.6750328836303638,1.0,22086.0,2.53,1.0,2.1766862170087977,1.0169186465082791,1.0205361003026372,0.6100558659217877,0.2578556551661686,0.2536901204382867,0.4232092728425247,0.06524495155301999,5.813917210739529,40.87684756273001,1826158.901446786,21581.35306230821,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C1030,75.0,26.338333333333335,11.666666666666666,12.0,1.0,2.0,29.0,51413333.333333336,214216.66666666666,55.949999999999996,127.20146224442458,37.233572409109655,0.004712005536555584,1.0,24927.0,2.06,1.0199999999999998,1.7550831792975965,1.1540418315432446,1.0259225922592259,0.6859867938371239,0.1505997512737192,0.3057327395996308,0.4514783166847193,0.0921891924419304,8.85309757467219,3.6696957185394363,14987753.222770471,62449.048885204546,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
C1038,554.0,28.42166666666667,91.66666666666667,34.0,0.0,1.0,387.0,61226833.333333336,31885.0,18.73,127.92599868028162,36.95531834220436,0.4424607163085157,1.0,18468.0,2.51,0.9800000000000001,1.8931297709923667,1.080295138888889,0.970236643083679,0.6373626373626373,0.23862897985705,0.2595299978340914,0.43729694606887576,0.0645440762399826,7.533680154258388,80.87933399000431,16621062.24543626,8659.784639354491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
C1040,638.0,41.41,319.0,24.0,0.0,3.0,548.0,16287500.0,155400.0,838.949,129.355804090659,35.6316630252773,0.3383134248873571,1.0,37059.0,2.58,1.05,2.219662058371736,1.1156270376005215,1.0683114306967518,0.6656394453004623,0.2288243071858388,0.2626622412909145,0.4501740467902533,0.0583394047329933,6.759940828143393,36.76955262170047,2549119.946177504,41507.16805565034,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C1060,659.0,43.83857142857142,94.14285714285714,7.0,0.0,5.0,602.0,39463142.85714286,269154.28571428574,5282.353,126.98643867887778,37.39769338235208,0.010472852231711129,1.0,27028.0,2.6,0.9699999999999999,2.09710684617588,1.0393177737881507,0.9440605967552075,0.6930855424979504,0.1749543683094075,0.2801785802377781,0.4684648019337971,0.0764022495190173,9.227448958716284,74.47243018152997,11290657.412636511,77116.09081057443,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
C1064,977.0,41.308,195.4,20.0,0.0,7.0,741.0,12607800.0,104372.0,109.934,127.07360716238001,37.835654166810706,0.014209287175912657,1.0,27364.0,2.5,0.9800000000000001,1.742305371152686,1.0495818399044206,0.9993444772205834,0.6545566502463054,0.2051966086829411,0.2507674316620377,0.4458412512790527,0.0981947083759684,5.147452768117448,114.11748332310873,4777240.908725454,16212.674671379797,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
C1071,528.0,50.348,105.6,16.0,0.0,4.0,403.0,18975400.0,152036.0,505.148,128.74227204059298,35.81376758367312,0.020411526581491143,1.0,19933.0,2.36,0.97,2.286666666666666,1.0936789449749886,0.9274328859060402,0.6945288753799392,0.1961069583103396,0.2309737621030452,0.4610444990718908,0.1118747805147243,5.8465220430611575,83.14625668062273,4360737.185385059,43498.419281624476,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
