iter	Passed	Remaining
0	3	3049
1	6	3201
2	10	3415
3	13	3300
4	15	3073
5	17	2979
6	20	2902
7	23	2869
8	26	2898
9	28	2848
10	32	2884
11	34	2834
12	36	2793
13	39	2799
14	41	2752
15	44	2706
16	46	2693
17	49	2693
18	61	3162
19	63	3128
20	66	3102
21	68	3036
22	70	3003
23	72	2965
24	75	2938
25	77	2902
26	79	2875
27	82	2850
28	83	2803
29	85	2771
30	88	2769
31	90	2738
32	93	2737
33	95	2725
34	97	2700
35	99	2672
36	102	2671
37	104	2646
38	107	2640
39	109	2632
40	111	2617
41	114	2603
42	116	2592
43	118	2580
44	121	2574
45	123	2568
46	126	2562
47	128	2555
48	130	2537
49	133	2530
50	135	2529
51	138	2533
52	141	2525
53	143	2522
54	146	2508
55	148	2496
56	150	2489
57	152	2478
58	154	2467
59	156	2454
60	159	2448
61	161	2437
62	162	2422
63	164	2410
64	167	2403
65	169	2401
66	172	2397
67	174	2394
68	177	2391
69	179	2383
70	182	2381
71	183	2365
72	186	2368
73	189	2372
74	192	2374
75	194	2367
76	197	2368
77	200	2368
78	202	2360
79	205	2363
80	208	2363
81	210	2354
82	213	2355
83	216	2357
84	219	2359
85	222	2360
86	224	2359
87	227	2358
88	230	2359
89	232	2355
90	235	2348
91	238	2349
92	240	2347
93	243	2347
94	246	2347
95	249	2348
96	252	2348
97	255	2347
98	257	2345
99	260	2344
100	263	2342
101	265	2341
102	268	2341
103	271	2338
104	274	2336
105	276	2335
106	279	2335
107	282	2335
108	285	2334
109	287	2329
110	290	2327
111	293	2326
112	296	2323
113	298	2321
114	301	2321
115	303	2316
116	306	2314
117	309	2312
118	312	2313
119	315	2314
120	318	2316
121	321	2314
122	324	2314
123	327	2313
124	330	2314
125	333	2313
126	336	2310
127	339	2309
128	340	2300
129	342	2293
130	344	2285
131	346	2276
132	348	2269
133	349	2257
134	351	2250
135	353	2245
136	355	2240
137	357	2235
138	359	2229
139	362	2223
140	364	2218
141	366	2213
142	367	2203
143	370	2199
144	372	2195
145	374	2189
146	376	2183
147	378	2177
148	380	2171
149	382	2169
150	385	2169
151	388	2168
152	391	2169
153	395	2171
154	399	2176
155	403	2181
156	406	2184
157	410	2186
158	413	2188
159	417	2190
160	421	2193
161	424	2197
162	428	2199
163	432	2202
164	435	2205
165	439	2206
166	443	2210
167	447	2213
168	450	2213
169	453	2215
170	457	2216
171	460	2217
172	464	2219
173	468	2222
174	471	2224
175	475	2226
176	478	2227
177	482	2228
178	486	2229
179	489	2231
180	493	2233
181	497	2234
182	500	2235
183	504	2236
184	508	2238
185	511	2239
186	515	2239
187	518	2241
188	522	2242
189	526	2242
190	529	2243
191	533	2243
192	536	2242
193	539	2241
194	542	2240
195	545	2238
196	549	2239
197	552	2237
198	555	2235
199	558	2234
200	561	2231
201	564	2230
202	567	2229
203	570	2227
204	574	2226
205	576	2223
206	579	2221
207	582	2219
208	585	2217
209	588	2215
210	592	2214
211	595	2212
212	598	2209
213	601	2207
214	604	2205
215	607	2206
216	611	2205
217	614	2204
218	617	2203
219	621	2202
220	624	2200
221	627	2198
222	630	2197
223	633	2195
224	636	2194
225	640	2192
226	643	2190
227	646	2188
228	649	2187
229	652	2185
230	656	2183
231	658	2181
232	662	2179
233	665	2177
234	668	2175
235	671	2173
236	674	2171
237	677	2169
238	680	2167
239	683	2165
240	686	2163
241	690	2161
242	693	2159
243	696	2157
244	699	2155
245	702	2153
246	705	2151
247	708	2148
248	711	2145
249	714	2143
250	717	2141
251	721	2140
252	724	2137
253	727	2135
254	729	2132
255	732	2129
256	736	2127
257	739	2126
258	742	2125
259	746	2125
260	750	2124
261	753	2122
262	756	2120
263	760	2118
264	762	2115
265	764	2108
266	766	2103
267	768	2098
268	770	2094
269	773	2090
270	775	2085
271	776	2079
272	778	2073
273	780	2068
274	782	2062
275	784	2058
276	787	2055
277	790	2052
278	792	2048
279	795	2044
280	797	2040
281	799	2035
282	802	2032
283	805	2029
284	807	2025
285	809	2021
286	812	2017
287	815	2015
288	818	2014
289	821	2011
290	824	2009
291	827	2006
292	829	2001
293	832	1998
294	835	1996
295	838	1993
296	841	1990
297	844	1989
298	847	1986
299	850	1983
300	852	1980
301	855	1977
302	858	1975
303	860	1970
304	863	1967
305	866	1964
306	869	1962
307	872	1960
308	875	1957
309	878	1954
310	880	1950
311	883	1948
312	886	1945
313	889	1944
314	892	1941
315	895	1938
316	898	1936
317	901	1933
318	904	1930
319	907	1927
320	910	1925
321	913	1923
322	916	1920
323	918	1916
324	921	1914
325	923	1909
326	925	1905
327	928	1901
328	931	1899
329	933	1895
330	936	1893
331	939	1889
332	942	1887
333	944	1883
334	947	1881
335	950	1878
336	953	1875
337	955	1871
338	958	1869
339	961	1865
340	964	1863
341	966	1860
342	969	1857
343	971	1853
344	975	1851
345	977	1848
346	980	1845
347	983	1843
348	986	1841
349	990	1838
350	993	1836
351	996	1833
352	999	1831
353	1001	1827
354	1004	1824
355	1007	1822
356	1010	1819
357	1013	1816
358	1016	1814
359	1018	1811
360	1021	1808
361	1024	1805
362	1027	1802
363	1029	1799
364	1032	1796
365	1036	1794
366	1039	1792
367	1041	1789
368	1044	1786
369	1048	1784
370	1051	1782
371	1054	1779
372	1057	1777
373	1060	1775
374	1063	1772
375	1066	1769
376	1069	1767
377	1072	1764
378	1075	1761
379	1078	1759
380	1081	1756
381	1084	1753
382	1087	1751
383	1090	1749
384	1093	1746
385	1095	1743
386	1098	1740
387	1102	1738
388	1105	1735
389	1107	1732
390	1110	1729
391	1113	1727
392	1116	1724
393	1119	1721
394	1122	1718
395	1125	1716
396	1127	1712
397	1130	1709
398	1133	1706
399	1135	1703
400	1138	1701
401	1141	1698
402	1144	1695
403	1147	1692
404	1150	1690
405	1153	1688
406	1156	1685
407	1159	1682
408	1162	1679
409	1165	1676
410	1168	1673
411	1171	1671
412	1174	1669
413	1177	1666
414	1180	1663
415	1183	1661
416	1186	1658
417	1188	1655
418	1191	1652
419	1194	1649
420	1197	1646
421	1200	1644
422	1203	1641
423	1206	1639
424	1209	1636
425	1212	1633
426	1215	1630
427	1218	1628
428	1221	1625
429	1224	1623
430	1227	1620
431	1230	1617
432	1233	1614
433	1236	1612
434	1239	1609
435	1242	1606
436	1244	1603
437	1247	1600
438	1250	1597
439	1253	1594
440	1255	1591
441	1258	1588
442	1261	1586
443	1264	1583
444	1267	1580
445	1270	1577
446	1273	1575
447	1275	1571
448	1278	1569
449	1281	1566
450	1284	1563
451	1286	1560
452	1290	1557
453	1293	1555
454	1296	1552
455	1299	1549
456	1302	1547
457	1305	1544
458	1307	1541
459	1310	1538
460	1313	1535
461	1316	1532
462	1319	1529
463	1321	1527
464	1324	1524
465	1327	1521
466	1330	1518
467	1333	1515
468	1336	1513
469	1339	1510
470	1342	1507
471	1345	1504
472	1348	1502
473	1351	1499
474	1354	1496
475	1357	1493
476	1360	1491
477	1363	1488
478	1365	1485
479	1368	1482
480	1371	1480
481	1374	1477
482	1377	1474
483	1380	1471
484	1383	1469
485	1386	1466
486	1389	1463
487	1392	1461
488	1395	1458
489	1398	1455
490	1401	1453
491	1405	1450
492	1408	1448
493	1410	1445
494	1413	1442
495	1416	1439
496	1419	1436
497	1422	1433
498	1425	1430
499	1428	1428
500	1431	1425
501	1434	1423
502	1437	1420
503	1440	1417
504	1443	1414
505	1446	1412
506	1449	1409
507	1452	1407
508	1455	1404
509	1458	1401
510	1461	1398
511	1464	1395
512	1467	1392
513	1470	1390
514	1473	1387
515	1476	1384
516	1478	1381
517	1481	1378
518	1484	1375
519	1487	1372
520	1490	1370
521	1493	1367
522	1496	1364
523	1499	1361
524	1502	1359
525	1504	1356
526	1507	1353
527	1510	1350
528	1513	1347
529	1517	1345
530	1520	1342
531	1523	1340
532	1526	1337
533	1529	1335
534	1532	1332
535	1535	1329
536	1538	1326
537	1541	1323
538	1544	1321
539	1547	1318
540	1550	1315
541	1553	1313
542	1556	1310
543	1559	1307
544	1562	1304
545	1565	1301
546	1568	1298
547	1571	1295
548	1573	1292
549	1576	1289
550	1579	1286
551	1581	1283
552	1584	1281
553	1587	1277
554	1590	1275
555	1593	1272
556	1596	1269
557	1599	1266
558	1601	1263
559	1604	1260
560	1607	1257
561	1610	1254
562	1612	1251
563	1615	1249
564	1618	1246
565	1621	1243
566	1624	1240
567	1627	1237
568	1630	1235
569	1633	1232
570	1636	1229
571	1639	1226
572	1642	1224
573	1645	1221
574	1648	1218
575	1651	1215
576	1654	1212
577	1657	1210
578	1660	1207
579	1663	1204
580	1666	1201
581	1668	1198
582	1672	1196
583	1675	1193
584	1678	1190
585	1681	1188
586	1684	1185
587	1687	1182
588	1690	1179
589	1693	1176
590	1696	1173
591	1699	1171
592	1702	1168
593	1704	1165
594	1708	1162
595	1710	1159
596	1713	1156
597	1716	1153
598	1719	1151
599	1722	1148
600	1725	1145
601	1728	1143
602	1731	1140
603	1735	1137
604	1738	1134
605	1741	1131
606	1743	1129
607	1746	1126
608	1749	1123
609	1752	1120
610	1755	1117
611	1757	1114
612	1760	1111
613	1763	1108
614	1766	1105
615	1768	1102
616	1771	1099
617	1774	1096
618	1777	1093
619	1780	1090
620	1782	1087
621	1785	1085
622	1788	1082
623	1791	1079
624	1793	1076
625	1796	1073
626	1799	1070
627	1802	1067
628	1805	1064
629	1808	1062
630	1811	1059
631	1814	1056
632	1817	1053
633	1820	1050
634	1823	1048
635	1826	1045
636	1829	1042
637	1832	1039
638	1835	1036
639	1838	1034
640	1841	1031
641	1845	1028
642	1848	1026
643	1850	1023
644	1853	1020
645	1857	1017
646	1860	1014
647	1863	1012
648	1866	1009
649	1869	1006
650	1872	1003
651	1875	1001
652	1878	998
653	1881	995
654	1884	992
655	1886	989
656	1890	986
657	1892	983
658	1895	980
659	1898	978
660	1901	975
661	1904	972
662	1907	969
663	1910	966
664	1913	963
665	1915	960
666	1918	957
667	1921	954
668	1924	952
669	1927	949
670	1930	946
671	1933	943
672	1936	940
673	1939	938
674	1942	935
675	1945	932
676	1948	929
677	1951	926
678	1954	924
679	1957	921
680	1960	918
681	1963	915
682	1966	912
683	1969	909
684	1972	906
685	1975	904
686	1977	901
687	1980	898
688	1983	895
689	1986	892
690	1989	889
691	1992	886
692	1995	884
693	1998	881
694	2001	878
695	2004	875
696	2007	872
697	2010	869
698	2013	867
699	2016	864
700	2019	861
701	2022	858
702	2026	856
703	2029	853
704	2032	850
705	2035	847
706	2038	844
707	2041	842
708	2044	839
709	2047	836
710	2050	833
711	2054	830
712	2057	828
713	2060	825
714	2062	822
715	2065	819
716	2068	816
717	2071	813
718	2073	810
719	2077	807
720	2080	805
721	2083	802
722	2087	799
723	2090	796
724	2093	793
725	2096	791
726	2098	788
727	2101	785
728	2104	782
729	2107	779
730	2110	776
731	2113	773
732	2116	770
733	2119	768
734	2122	765
735	2124	762
736	2127	759
737	2130	756
738	2133	753
739	2136	750
740	2139	747
741	2141	744
742	2144	741
743	2147	738
744	2150	736
745	2153	733
746	2156	730
747	2159	727
748	2161	724
749	2164	721
